n:1 mse_avg:6.66 mse_y:7.00 mse_u:6.54 mse_v:5.41 psnr_avg:39.90 psnr_y:39.68 psnr_u:39.98 psnr_v:40.79 
n:2 mse_avg:10.04 mse_y:11.47 mse_u:7.86 mse_v:6.54 psnr_avg:38.11 psnr_y:37.54 psnr_u:39.18 psnr_v:39.98 
n:3 mse_avg:7.08 mse_y:7.44 mse_u:6.79 mse_v:5.95 psnr_avg:39.63 psnr_y:39.42 psnr_u:39.81 psnr_v:40.39 
n:4 mse_avg:10.12 mse_y:11.52 mse_u:7.98 mse_v:6.67 psnr_avg:38.08 psnr_y:37.52 psnr_u:39.11 psnr_v:39.89 
n:5 mse_avg:6.16 mse_y:6.49 mse_u:5.80 mse_v:5.20 psnr_avg:40.23 psnr_y:40.01 psnr_u:40.50 psnr_v:40.97 
n:6 mse_avg:10.08 mse_y:11.48 mse_u:7.90 mse_v:6.64 psnr_avg:38.10 psnr_y:37.53 psnr_u:39.15 psnr_v:39.91 
n:7 mse_avg:6.95 mse_y:7.26 mse_u:6.70 mse_v:5.95 psnr_avg:39.71 psnr_y:39.52 psnr_u:39.87 psnr_v:40.38 
n:8 mse_avg:10.05 mse_y:11.44 mse_u:7.89 mse_v:6.67 psnr_avg:38.11 psnr_y:37.55 psnr_u:39.16 psnr_v:39.89 
n:9 mse_avg:6.02 mse_y:6.39 mse_u:5.56 mse_v:5.02 psnr_avg:40.33 psnr_y:40.08 psnr_u:40.68 psnr_v:41.12 
n:10 mse_avg:10.09 mse_y:11.47 mse_u:7.98 mse_v:6.70 psnr_avg:38.09 psnr_y:37.54 psnr_u:39.11 psnr_v:39.87 
n:11 mse_avg:7.07 mse_y:7.36 mse_u:6.90 mse_v:6.07 psnr_avg:39.64 psnr_y:39.46 psnr_u:39.74 psnr_v:40.30 
n:12 mse_avg:10.13 mse_y:11.49 mse_u:8.04 mse_v:6.79 psnr_avg:38.08 psnr_y:37.53 psnr_u:39.08 psnr_v:39.81 
n:13 mse_avg:6.13 mse_y:6.42 mse_u:5.84 mse_v:5.27 psnr_avg:40.25 psnr_y:40.05 psnr_u:40.46 psnr_v:40.91 
n:14 mse_avg:10.16 mse_y:11.55 mse_u:7.96 mse_v:6.79 psnr_avg:38.06 psnr_y:37.51 psnr_u:39.12 psnr_v:39.81 
n:15 mse_avg:6.92 mse_y:7.19 mse_u:6.77 mse_v:5.96 psnr_avg:39.73 psnr_y:39.56 psnr_u:39.83 psnr_v:40.38 
n:16 mse_avg:9.60 mse_y:10.86 mse_u:7.63 mse_v:6.56 psnr_avg:38.31 psnr_y:37.77 psnr_u:39.30 psnr_v:39.96 
n:17 mse_avg:7.11 mse_y:7.56 mse_u:6.70 mse_v:5.69 psnr_avg:39.61 psnr_y:39.34 psnr_u:39.87 psnr_v:40.58 
n:18 mse_avg:9.33 mse_y:10.43 mse_u:7.65 mse_v:6.57 psnr_avg:38.43 psnr_y:37.95 psnr_u:39.29 psnr_v:39.95 
n:19 mse_avg:7.06 mse_y:7.32 mse_u:6.97 mse_v:6.10 psnr_avg:39.65 psnr_y:39.49 psnr_u:39.70 psnr_v:40.28 
n:20 mse_avg:9.74 mse_y:10.93 mse_u:7.97 mse_v:6.73 psnr_avg:38.25 psnr_y:37.74 psnr_u:39.11 psnr_v:39.85 
n:21 mse_avg:6.34 mse_y:6.63 mse_u:6.06 mse_v:5.45 psnr_avg:40.11 psnr_y:39.92 psnr_u:40.31 psnr_v:40.76 
n:22 mse_avg:9.65 mse_y:10.89 mse_u:7.77 mse_v:6.60 psnr_avg:38.28 psnr_y:37.76 psnr_u:39.22 psnr_v:39.94 
n:23 mse_avg:7.00 mse_y:7.19 mse_u:7.03 mse_v:6.17 psnr_avg:39.68 psnr_y:39.56 psnr_u:39.66 psnr_v:40.23 
n:24 mse_avg:9.99 mse_y:11.29 mse_u:8.07 mse_v:6.71 psnr_avg:38.14 psnr_y:37.60 psnr_u:39.06 psnr_v:39.86 
n:25 mse_avg:5.82 mse_y:6.09 mse_u:5.58 mse_v:5.02 psnr_avg:40.48 psnr_y:40.29 psnr_u:40.66 psnr_v:41.12 
n:26 mse_avg:10.11 mse_y:11.46 mse_u:8.07 mse_v:6.74 psnr_avg:38.08 psnr_y:37.54 psnr_u:39.06 psnr_v:39.85 
n:27 mse_avg:7.07 mse_y:7.31 mse_u:7.00 mse_v:6.15 psnr_avg:39.64 psnr_y:39.49 psnr_u:39.68 psnr_v:40.24 
n:28 mse_avg:10.11 mse_y:11.42 mse_u:8.15 mse_v:6.86 psnr_avg:38.08 psnr_y:37.56 psnr_u:39.02 psnr_v:39.77 
n:29 mse_avg:6.29 mse_y:6.62 mse_u:5.97 mse_v:5.29 psnr_avg:40.14 psnr_y:39.92 psnr_u:40.37 psnr_v:40.89 
