Frame,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.000000,0.000000,0.993407,0.980340,0.987510,0.995429,0.998223,0.678901,0.976233,0.989439,0.993843,95.013289,
1,7.243034,7.978626,0.985570,0.958461,0.972514,0.989596,0.996349,0.585259,0.966920,0.985955,0.992439,100.000000,
2,6.722310,7.243034,0.991199,0.972901,0.984077,0.993602,0.997925,0.656752,0.979505,0.991387,0.995447,100.000000,
3,6.678193,6.722310,0.986270,0.960638,0.974665,0.989886,0.996280,0.583556,0.967287,0.986170,0.992710,100.000000,
4,6.678193,6.678193,0.992545,0.976404,0.986668,0.994478,0.998459,0.680536,0.982949,0.992840,0.996053,100.000000,
5,7.010418,7.010418,0.985919,0.958815,0.974134,0.989438,0.996437,0.584816,0.967125,0.986274,0.992815,100.000000,
6,7.241679,7.241679,0.991340,0.972600,0.984310,0.993584,0.998135,0.659975,0.980278,0.991849,0.995683,100.000000,
7,7.735896,7.828122,0.985791,0.958257,0.973383,0.989742,0.996362,0.585375,0.967132,0.986169,0.992660,100.000000,
8,7.570023,7.735896,0.992336,0.976051,0.986319,0.994428,0.998080,0.682641,0.983107,0.992835,0.996120,100.000000,
9,7.570023,7.570023,0.986235,0.957994,0.974204,0.989964,0.996778,0.586000,0.967531,0.986490,0.992875,100.000000,
10,7.518906,8.707140,0.991010,0.971619,0.983998,0.993430,0.997888,0.658148,0.980139,0.991756,0.995491,100.000000,
11,7.518906,7.518906,0.986061,0.958720,0.973710,0.989936,0.996536,0.585301,0.967637,0.986457,0.992895,100.000000,
12,7.596154,7.596154,0.992287,0.975764,0.986075,0.994413,0.998136,0.681488,0.982735,0.992590,0.995898,100.000000,
13,6.828079,8.209648,0.985564,0.955960,0.972845,0.990069,0.996288,0.584306,0.967220,0.986281,0.992921,100.000000,
14,6.828079,6.828079,0.991128,0.972310,0.983489,0.993713,0.997880,0.660892,0.979773,0.991426,0.995267,100.000000,
15,7.126468,7.126468,0.986086,0.957220,0.973464,0.990151,0.996902,0.593376,0.968438,0.986894,0.993299,100.000000,
16,7.366617,7.366617,0.991197,0.972467,0.983560,0.993867,0.997825,0.654917,0.975598,0.989204,0.993934,100.000000,
17,7.704254,8.125947,0.986953,0.960693,0.974962,0.990390,0.997007,0.599456,0.968768,0.986888,0.993003,100.000000,
18,7.494713,7.704254,0.991054,0.970814,0.983840,0.993425,0.998089,0.658538,0.979853,0.991520,0.995419,100.000000,
19,7.159774,7.494713,0.986271,0.960343,0.974781,0.989182,0.996413,0.592219,0.966878,0.985902,0.992428,100.000000,
