n:1 mse_avg:15.20 mse_y:17.91 mse_u:10.39 mse_v:9.19 psnr_avg:36.31 psnr_y:35.60 psnr_u:37.96 psnr_v:38.50 
n:2 mse_avg:24.32 mse_y:30.31 mse_u:13.37 mse_v:11.34 psnr_avg:34.27 psnr_y:33.32 psnr_u:36.87 psnr_v:37.58 
n:3 mse_avg:22.97 mse_y:28.34 mse_u:13.14 mse_v:11.32 psnr_avg:34.52 psnr_y:33.61 psnr_u:36.94 psnr_v:37.59 
n:4 mse_avg:25.02 mse_y:31.18 mse_u:13.61 mse_v:11.83 psnr_avg:34.15 psnr_y:33.19 psnr_u:36.79 psnr_v:37.40 
n:5 mse_avg:18.89 mse_y:22.51 mse_u:12.44 mse_v:10.86 psnr_avg:35.37 psnr_y:34.61 psnr_u:37.18 psnr_v:37.77 
n:6 mse_avg:24.54 mse_y:30.37 mse_u:13.79 mse_v:11.97 psnr_avg:34.23 psnr_y:33.31 psnr_u:36.74 psnr_v:37.35 
n:7 mse_avg:22.65 mse_y:27.67 mse_u:13.55 mse_v:11.69 psnr_avg:34.58 psnr_y:33.71 psnr_u:36.81 psnr_v:37.45 
n:8 mse_avg:24.62 mse_y:30.44 mse_u:13.89 mse_v:12.05 psnr_avg:34.22 psnr_y:33.30 psnr_u:36.70 psnr_v:37.32 
n:9 mse_avg:18.53 mse_y:21.95 mse_u:12.50 mse_v:10.88 psnr_avg:35.45 psnr_y:34.72 psnr_u:37.16 psnr_v:37.77 
n:10 mse_avg:24.52 mse_y:30.16 mse_u:14.20 mse_v:12.24 psnr_avg:34.24 psnr_y:33.34 psnr_u:36.61 psnr_v:37.25 
n:11 mse_avg:23.27 mse_y:28.45 mse_u:13.90 mse_v:11.91 psnr_avg:34.46 psnr_y:33.59 psnr_u:36.70 psnr_v:37.37 
n:12 mse_avg:25.05 mse_y:30.99 mse_u:14.18 mse_v:12.18 psnr_avg:34.14 psnr_y:33.22 psnr_u:36.61 psnr_v:37.28 
n:13 mse_avg:18.78 mse_y:22.26 mse_u:12.68 mse_v:11.00 psnr_avg:35.39 psnr_y:34.66 psnr_u:37.10 psnr_v:37.72 
n:14 mse_avg:24.61 mse_y:30.35 mse_u:14.09 mse_v:12.18 psnr_avg:34.22 psnr_y:33.31 psnr_u:36.64 psnr_v:37.28 
n:15 mse_avg:21.96 mse_y:26.66 mse_u:13.53 mse_v:11.58 psnr_avg:34.71 psnr_y:33.87 psnr_u:36.82 psnr_v:37.49 
n:16 mse_avg:24.31 mse_y:29.92 mse_u:14.19 mse_v:11.99 psnr_avg:34.27 psnr_y:33.37 psnr_u:36.61 psnr_v:37.34 
n:17 mse_avg:18.37 mse_y:21.69 mse_u:12.58 mse_v:10.87 psnr_avg:35.49 psnr_y:34.77 psnr_u:37.14 psnr_v:37.77 
n:18 mse_avg:23.43 mse_y:28.56 mse_u:14.25 mse_v:12.07 psnr_avg:34.43 psnr_y:33.57 psnr_u:36.59 psnr_v:37.31 
n:19 mse_avg:22.79 mse_y:27.80 mse_u:13.77 mse_v:11.76 psnr_avg:34.55 psnr_y:33.69 psnr_u:36.74 psnr_v:37.43 
n:20 mse_avg:23.10 mse_y:28.21 mse_u:13.92 mse_v:11.84 psnr_avg:34.49 psnr_y:33.63 psnr_u:36.69 psnr_v:37.40 
n:21 mse_avg:18.80 mse_y:22.29 mse_u:12.67 mse_v:10.98 psnr_avg:35.39 psnr_y:34.65 psnr_u:37.10 psnr_v:37.73 
n:22 mse_avg:22.77 mse_y:27.79 mse_u:13.64 mse_v:11.81 psnr_avg:34.56 psnr_y:33.69 psnr_u:36.78 psnr_v:37.41 
n:23 mse_avg:22.86 mse_y:27.89 mse_u:13.80 mse_v:11.78 psnr_avg:34.54 psnr_y:33.68 psnr_u:36.73 psnr_v:37.42 
n:24 mse_avg:24.53 mse_y:30.22 mse_u:14.19 mse_v:12.13 psnr_avg:34.23 psnr_y:33.33 psnr_u:36.61 psnr_v:37.29 
n:25 mse_avg:19.10 mse_y:22.65 mse_u:12.86 mse_v:11.15 psnr_avg:35.32 psnr_y:34.58 psnr_u:37.04 psnr_v:37.66 
n:26 mse_avg:24.78 mse_y:30.48 mse_u:14.43 mse_v:12.33 psnr_avg:34.19 psnr_y:33.29 psnr_u:36.54 psnr_v:37.22 
n:27 mse_avg:23.92 mse_y:29.27 mse_u:14.31 mse_v:12.14 psnr_avg:34.34 psnr_y:33.47 psnr_u:36.58 psnr_v:37.29 
n:28 mse_avg:24.97 mse_y:30.69 mse_u:14.58 mse_v:12.47 psnr_avg:34.16 psnr_y:33.26 psnr_u:36.49 psnr_v:37.17 
n:29 mse_avg:18.83 mse_y:22.24 mse_u:12.90 mse_v:11.13 psnr_avg:35.38 psnr_y:34.66 psnr_u:37.02 psnr_v:37.67 
n:30 mse_avg:24.10 mse_y:29.62 mse_u:14.01 mse_v:12.11 psnr_avg:34.31 psnr_y:33.42 psnr_u:36.67 psnr_v:37.30 
n:31 mse_avg:22.53 mse_y:27.45 mse_u:13.62 mse_v:11.73 psnr_avg:34.60 psnr_y:33.74 psnr_u:36.79 psnr_v:37.44 
n:32 mse_avg:23.89 mse_y:29.34 mse_u:13.94 mse_v:12.04 psnr_avg:34.35 psnr_y:33.46 psnr_u:36.69 psnr_v:37.33 
n:33 mse_avg:18.38 mse_y:21.67 mse_u:12.62 mse_v:10.98 psnr_avg:35.49 psnr_y:34.77 psnr_u:37.12 psnr_v:37.72 
n:34 mse_avg:22.42 mse_y:27.29 mse_u:13.57 mse_v:11.79 psnr_avg:34.63 psnr_y:33.77 psnr_u:36.80 psnr_v:37.42 
n:35 mse_avg:22.28 mse_y:27.04 mse_u:13.78 mse_v:11.78 psnr_avg:34.65 psnr_y:33.81 psnr_u:36.74 psnr_v:37.42 
n:36 mse_avg:23.73 mse_y:28.92 mse_u:14.38 mse_v:12.33 psnr_avg:34.38 psnr_y:33.52 psnr_u:36.55 psnr_v:37.22 
n:37 mse_avg:18.17 mse_y:21.37 mse_u:12.56 mse_v:10.96 psnr_avg:35.54 psnr_y:34.83 psnr_u:37.14 psnr_v:37.73 
n:38 mse_avg:23.65 mse_y:28.76 mse_u:14.49 mse_v:12.37 psnr_avg:34.39 psnr_y:33.54 psnr_u:36.52 psnr_v:37.21 
n:39 mse_avg:22.69 mse_y:27.62 mse_u:13.78 mse_v:11.90 psnr_avg:34.57 psnr_y:33.72 psnr_u:36.74 psnr_v:37.37 
n:40 mse_avg:24.55 mse_y:30.10 mse_u:14.53 mse_v:12.41 psnr_avg:34.23 psnr_y:33.35 psnr_u:36.51 psnr_v:37.19 
n:41 mse_avg:18.62 mse_y:21.99 mse_u:12.73 mse_v:11.06 psnr_avg:35.43 psnr_y:34.71 psnr_u:37.08 psnr_v:37.69 
n:42 mse_avg:24.21 mse_y:29.69 mse_u:14.32 mse_v:12.16 psnr_avg:34.29 psnr_y:33.40 psnr_u:36.57 psnr_v:37.28 
n:43 mse_avg:22.41 mse_y:27.18 mse_u:13.92 mse_v:11.82 psnr_avg:34.63 psnr_y:33.79 psnr_u:36.70 psnr_v:37.40 
n:44 mse_avg:23.59 mse_y:28.78 mse_u:14.30 mse_v:12.13 psnr_avg:34.40 psnr_y:33.54 psnr_u:36.58 psnr_v:37.29 
n:45 mse_avg:18.38 mse_y:21.66 mse_u:12.71 mse_v:10.98 psnr_avg:35.49 psnr_y:34.78 psnr_u:37.09 psnr_v:37.73 
n:46 mse_avg:22.56 mse_y:27.32 mse_u:14.12 mse_v:11.97 psnr_avg:34.60 psnr_y:33.77 psnr_u:36.63 psnr_v:37.35 
n:47 mse_avg:22.79 mse_y:27.78 mse_u:13.83 mse_v:11.81 psnr_avg:34.55 psnr_y:33.69 psnr_u:36.72 psnr_v:37.41 
n:48 mse_avg:23.16 mse_y:28.24 mse_u:14.07 mse_v:11.92 psnr_avg:34.48 psnr_y:33.62 psnr_u:36.65 psnr_v:37.37 
n:49 mse_avg:18.59 mse_y:21.96 mse_u:12.72 mse_v:11.01 psnr_avg:35.44 psnr_y:34.72 psnr_u:37.09 psnr_v:37.71 
n:50 mse_avg:23.85 mse_y:29.16 mse_u:14.27 mse_v:12.15 psnr_avg:34.36 psnr_y:33.48 psnr_u:36.59 psnr_v:37.28 
n:51 mse_avg:22.18 mse_y:26.97 mse_u:13.56 mse_v:11.64 psnr_avg:34.67 psnr_y:33.82 psnr_u:36.81 psnr_v:37.47 
n:52 mse_avg:23.96 mse_y:29.29 mse_u:14.39 mse_v:12.21 psnr_avg:34.34 psnr_y:33.46 psnr_u:36.55 psnr_v:37.27 
n:53 mse_avg:18.43 mse_y:21.72 mse_u:12.71 mse_v:11.02 psnr_avg:35.47 psnr_y:34.76 psnr_u:37.09 psnr_v:37.71 
n:54 mse_avg:23.79 mse_y:29.03 mse_u:14.37 mse_v:12.26 psnr_avg:34.37 psnr_y:33.50 psnr_u:36.56 psnr_v:37.25 
n:55 mse_avg:22.78 mse_y:27.78 mse_u:13.77 mse_v:11.79 psnr_avg:34.55 psnr_y:33.69 psnr_u:36.74 psnr_v:37.41 
n:56 mse_avg:24.17 mse_y:29.58 mse_u:14.37 mse_v:12.37 psnr_avg:34.30 psnr_y:33.42 psnr_u:36.56 psnr_v:37.21 
n:57 mse_avg:18.54 mse_y:21.89 mse_u:12.67 mse_v:11.05 psnr_avg:35.45 psnr_y:34.73 psnr_u:37.10 psnr_v:37.70 
n:58 mse_avg:23.66 mse_y:29.04 mse_u:13.79 mse_v:12.01 psnr_avg:34.39 psnr_y:33.50 psnr_u:36.74 psnr_v:37.34 
n:59 mse_avg:22.25 mse_y:27.03 mse_u:13.62 mse_v:11.75 psnr_avg:34.66 psnr_y:33.81 psnr_u:36.79 psnr_v:37.43 
n:60 mse_avg:23.15 mse_y:28.23 mse_u:13.91 mse_v:12.10 psnr_avg:34.48 psnr_y:33.62 psnr_u:36.70 psnr_v:37.30 
n:61 mse_avg:17.94 mse_y:21.07 mse_u:12.49 mse_v:10.85 psnr_avg:35.59 psnr_y:34.89 psnr_u:37.16 psnr_v:37.78 
n:62 mse_avg:23.49 mse_y:28.69 mse_u:14.07 mse_v:12.09 psnr_avg:34.42 psnr_y:33.55 psnr_u:36.65 psnr_v:37.31 
n:63 mse_avg:21.83 mse_y:26.41 mse_u:13.67 mse_v:11.66 psnr_avg:34.74 psnr_y:33.91 psnr_u:36.77 psnr_v:37.46 
n:64 mse_avg:22.90 mse_y:27.88 mse_u:13.94 mse_v:11.92 psnr_avg:34.53 psnr_y:33.68 psnr_u:36.69 psnr_v:37.37 
n:65 mse_avg:17.94 mse_y:21.09 mse_u:12.45 mse_v:10.82 psnr_avg:35.59 psnr_y:34.89 psnr_u:37.18 psnr_v:37.79 
n:66 mse_avg:24.02 mse_y:29.52 mse_u:13.95 mse_v:12.08 psnr_avg:34.33 psnr_y:33.43 psnr_u:36.69 psnr_v:37.31 
n:67 mse_avg:22.06 mse_y:26.83 mse_u:13.54 mse_v:11.52 psnr_avg:34.69 psnr_y:33.84 psnr_u:36.82 psnr_v:37.52 
n:68 mse_avg:24.16 mse_y:29.65 mse_u:14.16 mse_v:12.20 psnr_avg:34.30 psnr_y:33.41 psnr_u:36.62 psnr_v:37.27 
n:69 mse_avg:17.99 mse_y:21.15 mse_u:12.49 mse_v:10.88 psnr_avg:35.58 psnr_y:34.88 psnr_u:37.16 psnr_v:37.76 
n:70 mse_avg:23.91 mse_y:29.22 mse_u:14.32 mse_v:12.26 psnr_avg:34.35 psnr_y:33.47 psnr_u:36.57 psnr_v:37.25 
n:71 mse_avg:21.33 mse_y:25.77 mse_u:13.35 mse_v:11.54 psnr_avg:34.84 psnr_y:34.02 psnr_u:36.88 psnr_v:37.51 
n:72 mse_avg:24.87 mse_y:30.62 mse_u:14.38 mse_v:12.37 psnr_avg:34.17 psnr_y:33.27 psnr_u:36.55 psnr_v:37.21 
