Frame,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.000000,0.000000,0.948902,0.910873,0.914346,0.951714,0.973482,0.360356,0.825484,0.906294,0.945242,78.895066,
1,7.243034,7.978626,0.927035,0.880110,0.880098,0.928953,0.961208,0.319945,0.768998,0.867482,0.918433,79.111397,
2,6.722310,7.243034,0.931505,0.884835,0.886819,0.933023,0.964894,0.320034,0.777403,0.874331,0.924131,80.140400,
3,6.678193,6.722310,0.928529,0.880584,0.882817,0.930176,0.962639,0.312392,0.765954,0.866022,0.918732,78.835790,
4,6.678193,6.678193,0.939848,0.893146,0.901455,0.942350,0.969631,0.325868,0.798996,0.889275,0.933870,83.037591,
5,7.010418,7.010418,0.927582,0.880340,0.884429,0.927840,0.961168,0.314139,0.765942,0.866058,0.919112,79.009505,
6,7.241679,7.241679,0.933137,0.888360,0.889351,0.933736,0.965704,0.318865,0.775098,0.873480,0.923846,80.973842,
7,7.735896,7.828122,0.928045,0.880750,0.880010,0.928364,0.963729,0.313036,0.766181,0.867608,0.920257,79.992942,
8,7.570023,7.735896,0.941606,0.899155,0.902475,0.943314,0.970422,0.330412,0.799572,0.889768,0.933374,84.301267,
9,7.570023,7.570023,0.927597,0.879426,0.882120,0.927663,0.961888,0.312949,0.763716,0.864632,0.916829,79.377570,
10,7.518906,8.707140,0.930233,0.880915,0.885449,0.931443,0.964261,0.315000,0.774690,0.873308,0.924135,80.684364,
11,7.518906,7.518906,0.927208,0.878551,0.880498,0.927868,0.962216,0.311432,0.764756,0.865807,0.918382,79.402899,
12,7.596154,7.596154,0.940992,0.895708,0.901962,0.942746,0.970385,0.327419,0.799144,0.889350,0.933313,84.186184,
13,6.828079,8.209648,0.926767,0.878567,0.880515,0.927563,0.961190,0.313185,0.763519,0.864772,0.917794,78.521349,
14,6.828079,6.828079,0.933218,0.892064,0.892134,0.935462,0.962012,0.325197,0.776293,0.873684,0.923012,80.488184,
15,7.126468,7.126468,0.928141,0.880779,0.882935,0.929554,0.961416,0.316604,0.766767,0.867204,0.919652,79.317101,
16,7.366617,7.366617,0.941150,0.899739,0.904536,0.942113,0.968677,0.332900,0.798820,0.888933,0.933009,83.933259,
17,7.704254,8.125947,0.928013,0.883810,0.882079,0.927546,0.961398,0.320987,0.766378,0.866714,0.918605,79.779493,
18,7.494713,7.704254,0.931584,0.884044,0.885921,0.932984,0.964419,0.319053,0.773842,0.871906,0.921949,80.717226,
19,7.159774,7.494713,0.932134,0.891395,0.891120,0.931383,0.962580,0.322194,0.766734,0.866682,0.919004,80.093704,
20,7.159774,7.159774,0.939856,0.894456,0.902536,0.942147,0.968145,0.327039,0.798802,0.888601,0.932614,83.418308,
21,7.211884,7.211884,0.930481,0.886923,0.887807,0.929982,0.962358,0.322935,0.767485,0.867112,0.918883,79.808640,
22,8.004170,8.924140,0.930955,0.883655,0.887849,0.931554,0.963556,0.318357,0.774610,0.872148,0.922088,81.125723,
23,8.004170,8.004170,0.928193,0.884251,0.882389,0.929360,0.960979,0.313270,0.764807,0.865666,0.918085,80.068282,
24,7.593330,8.061573,0.938556,0.892845,0.900002,0.939733,0.968476,0.325152,0.797457,0.887874,0.932241,83.547794,
25,7.593330,7.593330,0.926651,0.879304,0.881837,0.926278,0.960902,0.314010,0.764385,0.865331,0.918056,79.318093,
