n:1 mse_avg:10.97 mse_y:12.40 mse_u:8.75 mse_v:7.50 psnr_avg:37.73 psnr_y:37.20 psnr_u:38.71 psnr_v:39.38 
n:2 mse_avg:13.12 mse_y:15.41 mse_u:9.23 mse_v:7.85 psnr_avg:36.95 psnr_y:36.25 psnr_u:38.48 psnr_v:39.18 
n:3 mse_avg:12.98 mse_y:15.25 mse_u:9.07 mse_v:7.80 psnr_avg:37.00 psnr_y:36.30 psnr_u:38.55 psnr_v:39.21 
n:4 mse_avg:13.08 mse_y:15.41 mse_u:9.03 mse_v:7.81 psnr_avg:36.96 psnr_y:36.25 psnr_u:38.57 psnr_v:39.21 
n:5 mse_avg:13.05 mse_y:15.39 mse_u:8.98 mse_v:7.77 psnr_avg:36.97 psnr_y:36.26 psnr_u:38.60 psnr_v:39.23 
n:6 mse_avg:12.74 mse_y:14.96 mse_u:8.90 mse_v:7.72 psnr_avg:37.08 psnr_y:36.38 psnr_u:38.64 psnr_v:39.26 
n:7 mse_avg:12.54 mse_y:14.68 mse_u:8.86 mse_v:7.65 psnr_avg:37.15 psnr_y:36.46 psnr_u:38.66 psnr_v:39.30 
n:8 mse_avg:12.75 mse_y:14.98 mse_u:8.90 mse_v:7.66 psnr_avg:37.08 psnr_y:36.37 psnr_u:38.64 psnr_v:39.29 
n:9 mse_avg:12.51 mse_y:14.63 mse_u:8.89 mse_v:7.65 psnr_avg:37.16 psnr_y:36.48 psnr_u:38.64 psnr_v:39.29 
n:10 mse_avg:12.69 mse_y:14.86 mse_u:8.96 mse_v:7.70 psnr_avg:37.10 psnr_y:36.41 psnr_u:38.61 psnr_v:39.27 
n:11 mse_avg:12.75 mse_y:14.96 mse_u:8.94 mse_v:7.73 psnr_avg:37.08 psnr_y:36.38 psnr_u:38.62 psnr_v:39.25 
n:12 mse_avg:12.79 mse_y:15.03 mse_u:8.98 mse_v:7.68 psnr_avg:37.06 psnr_y:36.36 psnr_u:38.60 psnr_v:39.28 
n:13 mse_avg:11.15 mse_y:12.70 mse_u:8.69 mse_v:7.43 psnr_avg:37.66 psnr_y:37.09 psnr_u:38.74 psnr_v:39.42 
n:14 mse_avg:12.83 mse_y:15.05 mse_u:9.08 mse_v:7.71 psnr_avg:37.05 psnr_y:36.36 psnr_u:38.55 psnr_v:39.26 
n:15 mse_avg:12.22 mse_y:14.21 mse_u:8.89 mse_v:7.58 psnr_avg:37.26 psnr_y:36.61 psnr_u:38.64 psnr_v:39.33 
n:16 mse_avg:12.52 mse_y:14.63 mse_u:8.95 mse_v:7.66 psnr_avg:37.15 psnr_y:36.48 psnr_u:38.61 psnr_v:39.29 
n:17 mse_avg:12.33 mse_y:14.36 mse_u:8.98 mse_v:7.60 psnr_avg:37.22 psnr_y:36.56 psnr_u:38.60 psnr_v:39.32 
n:18 mse_avg:12.30 mse_y:14.33 mse_u:8.89 mse_v:7.63 psnr_avg:37.23 psnr_y:36.57 psnr_u:38.64 psnr_v:39.30 
n:19 mse_avg:12.59 mse_y:14.72 mse_u:9.00 mse_v:7.64 psnr_avg:37.13 psnr_y:36.45 psnr_u:38.59 psnr_v:39.30 
n:20 mse_avg:12.30 mse_y:14.33 mse_u:8.90 mse_v:7.60 psnr_avg:37.23 psnr_y:36.57 psnr_u:38.64 psnr_v:39.32 
n:21 mse_avg:12.76 mse_y:14.96 mse_u:8.98 mse_v:7.70 psnr_avg:37.07 psnr_y:36.38 psnr_u:38.60 psnr_v:39.27 
n:22 mse_avg:12.19 mse_y:14.21 mse_u:8.72 mse_v:7.56 psnr_avg:37.27 psnr_y:36.60 psnr_u:38.72 psnr_v:39.34 
n:23 mse_avg:12.61 mse_y:14.75 mse_u:8.96 mse_v:7.70 psnr_avg:37.12 psnr_y:36.44 psnr_u:38.61 psnr_v:39.27 
n:24 mse_avg:12.83 mse_y:15.06 mse_u:9.02 mse_v:7.72 psnr_avg:37.05 psnr_y:36.35 psnr_u:38.58 psnr_v:39.25 
n:25 mse_avg:11.23 mse_y:12.80 mse_u:8.73 mse_v:7.49 psnr_avg:37.63 psnr_y:37.06 psnr_u:38.72 psnr_v:39.39 
n:26 mse_avg:12.90 mse_y:15.12 mse_u:9.18 mse_v:7.79 psnr_avg:37.02 psnr_y:36.34 psnr_u:38.50 psnr_v:39.22 
