Frame,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.000000,0.000000,0.980874,0.952565,0.966023,0.983946,0.993292,0.570577,0.964153,0.982810,0.990125,91.838765,
1,7.243034,7.978626,0.978944,0.950063,0.962156,0.982433,0.992417,0.532559,0.949385,0.976304,0.986568,99.499847,
2,6.722310,7.243034,0.980250,0.951654,0.964961,0.983185,0.993381,0.533667,0.949520,0.976658,0.987011,99.248504,
3,6.678193,6.722310,0.979906,0.952406,0.964429,0.983005,0.992690,0.532170,0.949312,0.976526,0.986882,99.107377,
4,6.678193,6.678193,0.980135,0.952137,0.965166,0.983157,0.992951,0.533021,0.949785,0.976826,0.987068,99.186514,
5,7.010418,7.010418,0.980941,0.954140,0.966814,0.983288,0.993381,0.537273,0.949961,0.977130,0.987146,99.756623,
6,7.241679,7.241679,0.981094,0.954775,0.966573,0.983392,0.993475,0.539821,0.949833,0.977107,0.987208,100.000000,
7,7.735896,7.828122,0.980378,0.953218,0.965592,0.982499,0.993346,0.537277,0.949709,0.976924,0.987051,100.000000,
8,7.570023,7.735896,0.980731,0.955132,0.965777,0.983072,0.993057,0.540643,0.949496,0.976835,0.987108,100.000000,
9,7.570023,7.570023,0.980654,0.953716,0.965364,0.983131,0.993291,0.538063,0.949442,0.976827,0.987115,100.000000,
10,7.518906,8.707140,0.980634,0.953028,0.965742,0.983283,0.993359,0.537356,0.949652,0.976967,0.987293,100.000000,
11,7.518906,7.518906,0.980824,0.953017,0.965507,0.983257,0.993916,0.536905,0.950137,0.977270,0.987481,100.000000,
12,7.596154,7.596154,0.981252,0.953875,0.966479,0.984419,0.993307,0.567782,0.963621,0.982370,0.989785,100.000000,
13,6.828079,8.209648,0.980180,0.952245,0.964266,0.983065,0.993173,0.536700,0.948878,0.976055,0.986878,99.313708,
14,6.828079,6.828079,0.980521,0.954771,0.965375,0.982970,0.992791,0.544270,0.948598,0.976040,0.986585,99.363300,
15,7.126468,7.126468,0.980046,0.952535,0.964370,0.982551,0.993109,0.539747,0.948703,0.976274,0.986802,99.624396,
16,7.366617,7.366617,0.980800,0.953509,0.965569,0.983414,0.993320,0.542288,0.948300,0.975902,0.986410,100.000000,
17,7.704254,8.125947,0.980681,0.953273,0.964789,0.983135,0.993562,0.542836,0.948438,0.976297,0.986815,100.000000,
18,7.494713,7.704254,0.980107,0.952066,0.964076,0.982671,0.993166,0.539528,0.949157,0.976626,0.986969,100.000000,
19,7.159774,7.494713,0.980349,0.953529,0.965268,0.983126,0.992486,0.543681,0.948978,0.976424,0.986801,99.735595,
20,7.159774,7.159774,0.979955,0.951405,0.964589,0.982476,0.993144,0.537983,0.949464,0.976629,0.986989,99.674747,
21,7.211884,7.211884,0.981555,0.955447,0.966669,0.983211,0.994289,0.545575,0.949725,0.977072,0.987467,100.000000,
22,8.004170,8.924140,0.979962,0.952469,0.964811,0.982444,0.992717,0.540562,0.950033,0.977056,0.987187,100.000000,
23,8.004170,8.004170,0.980209,0.952014,0.964474,0.982791,0.993456,0.537695,0.949792,0.977096,0.987490,100.000000,
24,7.593330,8.061573,0.981422,0.953966,0.966920,0.984208,0.993758,0.568395,0.963781,0.982415,0.989885,100.000000,
25,7.593330,7.593330,0.979846,0.952042,0.964425,0.982207,0.992963,0.537822,0.949358,0.976222,0.986552,100.000000,
26,7.616158,7.701142,0.979859,0.951996,0.964900,0.981983,0.993149,0.536865,0.949066,0.976247,0.986570,100.000000,
27,7.616069,7.616158,0.980624,0.953064,0.966001,0.983009,0.993544,0.539200,0.949351,0.976521,0.986737,100.000000,
28,6.898648,7.616069,0.980309,0.953469,0.965700,0.982952,0.992816,0.541569,0.949251,0.976458,0.986540,99.413712,
29,6.898648,6.898648,0.980525,0.954337,0.965941,0.983028,0.992712,0.541251,0.948996,0.976432,0.986731,99.473940,
30,7.151423,7.539910,0.980578,0.954200,0.965001,0.983231,0.993240,0.542771,0.948689,0.976210,0.986615,99.750539,
31,7.079574,7.151423,0.980110,0.952692,0.964879,0.982565,0.993190,0.541091,0.949367,0.976466,0.986606,99.580543,
32,6.854707,7.079574,0.980428,0.954287,0.965494,0.982596,0.993216,0.542502,0.949126,0.976565,0.986630,99.401369,
33,6.854707,6.854707,0.980941,0.955935,0.965832,0.982879,0.993329,0.549302,0.949008,0.976592,0.986777,99.526091,
34,7.185770,7.185770,0.979695,0.952939,0.963626,0.982275,0.992584,0.544018,0.949238,0.976664,0.986774,99.632262,
35,7.783630,7.783630,0.980404,0.953143,0.965119,0.982899,0.993255,0.544566,0.949338,0.976697,0.986884,100.000000,
36,7.983915,7.983915,0.980856,0.952206,0.966157,0.984064,0.993342,0.577469,0.963678,0.982442,0.989793,100.000000,
37,8.082557,8.249361,0.978897,0.950302,0.962222,0.982033,0.992404,0.540481,0.948583,0.975677,0.986184,100.000000,
38,8.044311,8.082557,0.979518,0.951203,0.963149,0.982143,0.993133,0.540353,0.948450,0.975782,0.986454,100.000000,
39,8.044311,8.044311,0.979863,0.951344,0.964412,0.982127,0.993430,0.540712,0.948544,0.975958,0.986504,100.000000,
40,7.522001,8.055641,0.980222,0.952758,0.964429,0.983044,0.993303,0.542957,0.949412,0.976513,0.986798,100.000000,
41,7.289643,7.522001,0.980652,0.953974,0.965840,0.983143,0.993112,0.544437,0.949386,0.976659,0.986870,99.964604,
42,7.110875,7.289643,0.980849,0.954488,0.966436,0.983044,0.993137,0.547114,0.949280,0.976649,0.987085,99.823330,
43,7.110875,7.110875,0.980488,0.953120,0.965204,0.983090,0.993197,0.547616,0.949082,0.976477,0.987014,99.731152,
44,7.394004,7.394004,0.980623,0.954171,0.964701,0.983122,0.993364,0.546708,0.949149,0.976634,0.987014,100.000000,
45,7.938422,7.938422,0.980850,0.956087,0.965162,0.983042,0.993261,0.549750,0.948983,0.976342,0.986750,100.000000,
