n:1 mse_avg:1.64 mse_y:1.65 mse_u:1.66 mse_v:1.60 psnr_avg:45.98 psnr_y:45.97 psnr_u:45.93 psnr_v:46.08 
n:2 mse_avg:12.81 mse_y:15.83 mse_u:7.65 mse_v:5.90 psnr_avg:37.05 psnr_y:36.13 psnr_u:39.29 psnr_v:40.43 
n:3 mse_avg:11.45 mse_y:13.62 mse_u:7.84 mse_v:6.39 psnr_avg:37.54 psnr_y:36.79 psnr_u:39.19 psnr_v:40.08 
n:4 mse_avg:13.79 mse_y:16.61 mse_u:8.93 mse_v:7.36 psnr_avg:36.74 psnr_y:35.93 psnr_u:38.62 psnr_v:39.46 
n:5 mse_avg:9.55 mse_y:11.01 mse_u:7.15 mse_v:6.08 psnr_avg:38.33 psnr_y:37.71 psnr_u:39.59 psnr_v:40.29 
n:6 mse_avg:13.66 mse_y:16.36 mse_u:9.02 mse_v:7.51 psnr_avg:36.78 psnr_y:35.99 psnr_u:38.58 psnr_v:39.38 
n:7 mse_avg:11.68 mse_y:13.62 mse_u:8.47 mse_v:7.16 psnr_avg:37.46 psnr_y:36.79 psnr_u:38.85 psnr_v:39.58 
n:8 mse_avg:14.02 mse_y:16.67 mse_u:9.49 mse_v:7.96 psnr_avg:36.66 psnr_y:35.91 psnr_u:38.36 psnr_v:39.12 
n:9 mse_avg:5.84 mse_y:6.39 mse_u:5.04 mse_v:4.46 psnr_avg:40.47 psnr_y:40.08 psnr_u:41.11 psnr_v:41.64 
n:10 mse_avg:13.16 mse_y:15.90 mse_u:8.44 mse_v:6.89 psnr_avg:36.94 psnr_y:36.12 psnr_u:38.87 psnr_v:39.75 
n:11 mse_avg:5.69 mse_y:6.16 mse_u:5.03 mse_v:4.47 psnr_avg:40.58 psnr_y:40.24 psnr_u:41.11 psnr_v:41.63 
n:12 mse_avg:13.20 mse_y:15.96 mse_u:8.48 mse_v:6.88 psnr_avg:36.93 psnr_y:36.10 psnr_u:38.85 psnr_v:39.75 
n:13 mse_avg:9.49 mse_y:10.89 mse_u:7.22 mse_v:6.13 psnr_avg:38.36 psnr_y:37.76 psnr_u:39.54 psnr_v:40.25 
n:14 mse_avg:13.46 mse_y:16.06 mse_u:9.00 mse_v:7.52 psnr_avg:36.84 psnr_y:36.07 psnr_u:38.59 psnr_v:39.37 
n:15 mse_avg:11.33 mse_y:13.10 mse_u:8.46 mse_v:7.12 psnr_avg:37.59 psnr_y:36.96 psnr_u:38.86 psnr_v:39.60 
n:16 mse_avg:13.68 mse_y:16.15 mse_u:9.54 mse_v:7.93 psnr_avg:36.77 psnr_y:36.05 psnr_u:38.34 psnr_v:39.14 
n:17 mse_avg:5.80 mse_y:6.33 mse_u:5.04 mse_v:4.47 psnr_avg:40.49 psnr_y:40.12 psnr_u:41.11 psnr_v:41.63 
