Frame,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.000000,0.000000,0.989847,0.973517,0.980531,0.991593,0.997384,0.665347,0.978400,0.990078,0.994190,94.324424,
1,7.243034,7.978626,0.961542,0.928113,0.933446,0.964610,0.982028,0.442007,0.881623,0.940284,0.965212,92.418218,
2,6.722310,7.243034,0.963838,0.925320,0.937117,0.967228,0.984893,0.436145,0.886223,0.945147,0.969041,92.853210,
3,6.678193,6.722310,0.956523,0.914183,0.926849,0.959532,0.980340,0.406743,0.861895,0.930425,0.959783,89.935520,
4,6.678193,6.678193,0.968420,0.930371,0.945588,0.971573,0.987762,0.443432,0.900883,0.953452,0.974183,94.550779,
5,7.010418,7.010418,0.957653,0.917914,0.930894,0.959976,0.979753,0.406232,0.859085,0.928860,0.958844,90.397665,
6,7.241679,7.241679,0.963174,0.922673,0.936930,0.966096,0.984530,0.418883,0.875694,0.939804,0.965978,92.819452,
7,7.735896,7.828122,0.956774,0.912311,0.926388,0.959590,0.981427,0.395398,0.853060,0.926170,0.957523,90.785409,
8,7.570023,7.735896,0.977665,0.946723,0.959545,0.980639,0.992478,0.492419,0.930359,0.968948,0.982873,98.913266,
9,7.570023,7.570023,0.959903,0.922091,0.932232,0.961369,0.982027,0.414747,0.864491,0.931359,0.960059,91.663576,
10,7.518906,8.707140,0.977405,0.945609,0.960234,0.980907,0.991730,0.488702,0.929082,0.967904,0.982215,98.700011,
11,7.518906,7.518906,0.960258,0.922459,0.932191,0.963062,0.981850,0.413115,0.864612,0.931590,0.960429,91.724183,
12,7.596154,7.596154,0.969183,0.931425,0.946200,0.972247,0.988012,0.440701,0.896268,0.951448,0.973106,95.539077,
13,6.828079,8.209648,0.958438,0.917613,0.928666,0.962176,0.980851,0.402154,0.854865,0.926910,0.958815,90.291498,
14,6.828079,6.828079,0.963727,0.925239,0.936690,0.967674,0.983907,0.420725,0.871691,0.937845,0.965325,92.354110,
15,7.126468,7.126468,0.956093,0.911692,0.925578,0.959342,0.980238,0.394573,0.848991,0.923918,0.956567,89.830321,
16,7.366617,7.366617,0.977538,0.945996,0.960907,0.980377,0.991690,0.493879,0.928425,0.967955,0.982292,98.567623,
17,7.704254,8.125947,0.961599,0.924729,0.934372,0.963765,0.982457,0.419798,0.864133,0.931461,0.960397,92.194168,
18,7.494713,7.704254,0.962144,0.921012,0.934524,0.965356,0.983598,0.418515,0.873908,0.938958,0.965679,92.812744,
19,7.159774,7.494713,0.957853,0.917098,0.928231,0.959986,0.980926,0.401144,0.851662,0.925414,0.957610,90.371530,
20,7.159774,7.159774,0.977239,0.946392,0.960040,0.979947,0.991781,0.488967,0.929313,0.968327,0.982681,98.324667,
21,7.211884,7.211884,0.962572,0.929542,0.937128,0.964499,0.981863,0.422913,0.864461,0.931983,0.961233,91.957247,
22,8.004170,8.924140,0.962322,0.924046,0.935459,0.965203,0.983195,0.418376,0.874164,0.938915,0.965668,93.391418,
23,8.004170,8.004170,0.956891,0.913859,0.925695,0.959860,0.981210,0.393918,0.851654,0.925565,0.957290,91.052185,
24,7.593330,8.061573,0.977002,0.945153,0.958902,0.979755,0.992273,0.485537,0.928391,0.968463,0.982798,98.763857,
25,7.593330,7.593330,0.959840,0.923087,0.932231,0.961801,0.981412,0.412629,0.863467,0.931397,0.960637,91.723567,
26,7.616158,7.701142,0.961505,0.918424,0.935146,0.964417,0.983866,0.411107,0.872958,0.938453,0.965329,92.763485,
27,7.616069,7.616158,0.956545,0.911819,0.926918,0.960130,0.980548,0.392265,0.849980,0.924597,0.956891,90.501343,
28,6.898648,7.616069,0.967874,0.929502,0.945469,0.970944,0.987016,0.435297,0.893195,0.950374,0.972765,94.429562,
29,6.898648,6.898648,0.958447,0.919826,0.930776,0.960989,0.980169,0.397733,0.850652,0.924893,0.956756,90.134308,
30,7.151423,7.539910,0.977811,0.948231,0.960952,0.980671,0.991810,0.492115,0.928669,0.968080,0.982568,98.417061,
31,7.079574,7.151423,0.960257,0.924956,0.933671,0.962205,0.981347,0.414584,0.863017,0.930984,0.960148,91.204348,
32,6.854707,7.079574,0.976882,0.946162,0.960312,0.979569,0.991338,0.488582,0.926393,0.967398,0.982438,97.842615,
33,6.854707,6.854707,0.962598,0.930230,0.937088,0.963726,0.982440,0.424695,0.863257,0.931084,0.960374,91.470341,
34,7.185770,7.185770,0.963123,0.924420,0.935765,0.966199,0.984184,0.420541,0.872946,0.938603,0.965908,92.690434,
35,7.783630,7.783630,0.956734,0.915864,0.927094,0.959822,0.979672,0.398634,0.849102,0.923905,0.956894,90.684929,
36,7.983915,7.983915,0.968589,0.932612,0.945729,0.972444,0.986506,0.442355,0.892714,0.950010,0.972457,95.711526,
37,8.082557,8.249361,0.956597,0.916685,0.926134,0.960463,0.979274,0.398854,0.850692,0.924600,0.957088,91.013308,
38,8.044311,8.082557,0.960781,0.919942,0.933299,0.963040,0.983412,0.408528,0.867286,0.935993,0.964699,92.912755,
39,8.044311,8.044311,0.954393,0.909912,0.923245,0.957542,0.979195,0.387145,0.844538,0.921674,0.955180,90.254008,
40,7.522001,8.055641,0.976981,0.946607,0.960045,0.979538,0.991624,0.491558,0.929415,0.968905,0.983398,98.750356,
41,7.289643,7.522001,0.961358,0.926734,0.935008,0.963465,0.981732,0.417161,0.863714,0.931665,0.961152,91.768336,
42,7.110875,7.289643,0.963077,0.925601,0.938224,0.964543,0.983819,0.423033,0.873924,0.938960,0.966080,92.626328,
43,7.110875,7.110875,0.956672,0.915493,0.926664,0.959448,0.979936,0.401915,0.850809,0.925092,0.957911,90.078767,
44,7.394004,7.394004,0.967871,0.932321,0.944530,0.971108,0.985985,0.442524,0.892782,0.950155,0.972837,94.958509,
45,7.938422,7.938422,0.958686,0.924767,0.930055,0.960476,0.979945,0.407203,0.850881,0.925252,0.957966,91.392158,
46,7.943675,8.060074,0.960275,0.920845,0.932608,0.962846,0.982085,0.410686,0.868154,0.936074,0.964512,92.686188,
47,7.943675,7.943675,0.956216,0.916890,0.925326,0.958984,0.978925,0.395592,0.844231,0.920950,0.954706,90.460268,
48,7.268027,8.278992,0.976655,0.944794,0.959492,0.979104,0.991271,0.489905,0.927380,0.967821,0.982722,98.294635,
49,7.268027,7.268027,0.959715,0.922701,0.931758,0.961314,0.981239,0.414764,0.861858,0.930834,0.960923,91.346053,
50,7.663664,7.663664,0.977475,0.946364,0.959642,0.980438,0.991910,0.491406,0.926130,0.966975,0.982333,98.835977,
51,8.609735,8.609735,0.960036,0.923973,0.932127,0.961994,0.981238,0.415501,0.862093,0.930676,0.959812,92.743724,
52,8.780776,8.780776,0.968573,0.932482,0.944898,0.971415,0.987169,0.443306,0.893609,0.950052,0.972185,96.535582,
53,8.837463,8.847064,0.958310,0.919695,0.929810,0.961565,0.979595,0.404280,0.852130,0.925565,0.957367,92.221909,
54,8.128787,8.837463,0.961558,0.920055,0.933771,0.965394,0.983154,0.409716,0.867731,0.935917,0.964098,93.116572,
55,7.403520,8.128787,0.955499,0.912043,0.923585,0.959038,0.979637,0.390892,0.846060,0.922619,0.956113,89.917831,
56,6.670798,7.403520,0.976401,0.944686,0.957913,0.979420,0.991288,0.490901,0.927017,0.967754,0.982801,97.579132,
57,6.670798,6.670798,0.960986,0.925228,0.932610,0.962615,0.982498,0.418612,0.862124,0.931213,0.960912,90.981611,
58,6.719867,6.719867,0.962477,0.923875,0.935632,0.965121,0.983652,0.421132,0.872737,0.938626,0.966045,92.059309,
59,7.165843,7.165843,0.957943,0.919278,0.927161,0.960057,0.981306,0.403320,0.848831,0.924269,0.957067,90.307369,
60,7.836376,7.836376,0.977575,0.947891,0.959889,0.980451,0.991674,0.497148,0.927689,0.968016,0.982882,99.139559,
61,8.044163,8.203473,0.959423,0.921953,0.930753,0.961781,0.981174,0.416761,0.861727,0.930812,0.960032,92.039846,
62,7.904835,8.044163,0.962411,0.924553,0.933539,0.965002,0.983788,0.422192,0.870198,0.937037,0.965142,93.181906,
63,7.669239,7.904835,0.956807,0.916400,0.924660,0.959597,0.980250,0.401272,0.848528,0.924594,0.957686,90.666775,
64,7.440561,7.669239,0.976655,0.945085,0.958615,0.979724,0.991178,0.494372,0.926867,0.967752,0.982584,98.469355,
65,7.365259,7.440561,0.959359,0.920909,0.929139,0.962408,0.981426,0.415147,0.862200,0.931474,0.960645,91.379259,
66,7.258964,7.365259,0.962397,0.921392,0.932805,0.966346,0.984044,0.421010,0.872069,0.938298,0.965802,92.592875,
67,7.258964,7.258964,0.955628,0.911715,0.921924,0.959796,0.979693,0.394882,0.848503,0.923962,0.956444,89.865538,
68,7.756057,7.756057,0.968165,0.930237,0.942935,0.971536,0.987210,0.441689,0.890979,0.949284,0.972093,95.315048,
69,7.881608,7.881608,0.956517,0.914843,0.926198,0.959470,0.979453,0.399370,0.849486,0.924902,0.957312,90.814760,
70,8.050058,8.050058,0.977404,0.947246,0.959004,0.979698,0.992202,0.498509,0.927665,0.968211,0.983225,99.371838,
71,8.039073,8.825236,0.957385,0.916699,0.925488,0.960750,0.980899,0.412752,0.860461,0.930109,0.960016,91.574341,
72,7.587069,8.039073,0.976794,0.945596,0.958178,0.979601,0.991616,0.497486,0.925023,0.966936,0.982135,98.584893,
73,6.971986,7.587069,0.955508,0.913410,0.923994,0.959782,0.978626,0.409665,0.859450,0.929468,0.959232,89.952432,
74,6.971986,6.971986,0.960844,0.920252,0.931282,0.964948,0.982583,0.420071,0.869453,0.936768,0.964493,91.786630,
75,7.054065,7.054065,0.955185,0.911098,0.922382,0.959233,0.979366,0.397625,0.846157,0.922999,0.956389,89.507617,
76,7.561130,7.795442,0.967178,0.928177,0.942629,0.970148,0.987002,0.435338,0.889895,0.948770,0.972203,94.883006,
77,7.561130,7.561130,0.955562,0.912702,0.923601,0.959198,0.979418,0.393893,0.847569,0.923270,0.955944,90.107401,
78,7.563766,7.563766,0.961496,0.923066,0.933334,0.963290,0.983272,0.414979,0.864926,0.934843,0.963787,92.430376,
79,8.109319,8.403214,0.955340,0.915690,0.922049,0.957671,0.979641,0.393654,0.842433,0.921214,0.955554,90.528324,
80,8.109319,8.109319,0.977568,0.946630,0.959168,0.979936,0.992863,0.495679,0.927497,0.968133,0.982848,99.437299,
81,8.353119,8.592018,0.959851,0.923268,0.931664,0.962866,0.980564,0.418870,0.860903,0.930431,0.960416,92.470063,
82,8.257866,8.353119,0.962219,0.923976,0.935077,0.965928,0.982603,0.421637,0.870057,0.937382,0.965234,93.537041,
83,8.185824,8.257866,0.955121,0.915303,0.925129,0.957169,0.978601,0.398125,0.845492,0.922466,0.955979,90.640155,
84,8.185824,8.185824,0.968031,0.932338,0.943284,0.970901,0.987168,0.443846,0.889564,0.948647,0.971887,95.701255,
85,7.560979,8.201887,0.955924,0.914253,0.925035,0.959375,0.979291,0.398938,0.847600,0.923261,0.956006,90.183073,
86,7.525544,7.560979,0.960331,0.917836,0.930880,0.963892,0.983042,0.407112,0.863204,0.933309,0.962560,91.989183,
87,7.434929,7.525544,0.955122,0.913885,0.921317,0.958029,0.979661,0.390785,0.840260,0.919052,0.953637,89.539858,
88,7.088059,7.434929,0.976507,0.944194,0.958039,0.979025,0.991966,0.489801,0.926405,0.967603,0.982579,98.040593,
89,7.088059,7.088059,0.961217,0.927016,0.934228,0.963192,0.981349,0.421062,0.861302,0.930079,0.959493,91.323027,
90,7.011682,7.107741,0.977293,0.947409,0.959051,0.980225,0.991439,0.493908,0.924831,0.966361,0.981595,97.988859,
91,7.011682,7.011682,0.958949,0.919718,0.928616,0.962362,0.980999,0.412990,0.860407,0.929977,0.959716,90.780092,
92,6.899600,7.133701,0.967434,0.929513,0.941612,0.971557,0.986663,0.438364,0.891113,0.949130,0.971673,94.193068,
93,6.823380,6.899600,0.955757,0.913964,0.924163,0.960500,0.978402,0.396716,0.849615,0.924027,0.956209,89.407996,
94,6.823380,6.823380,0.960781,0.918945,0.932038,0.963814,0.983185,0.407833,0.866160,0.935343,0.963718,91.505131,
95,6.841225,6.841225,0.954979,0.909919,0.921745,0.957605,0.980573,0.385387,0.842986,0.921433,0.955430,89.116822,
96,6.845784,7.036491,0.976418,0.943718,0.957847,0.979351,0.991730,0.486325,0.926616,0.967694,0.982736,97.770357,
97,6.845784,6.845784,0.959777,0.922498,0.932582,0.961872,0.980851,0.412981,0.859827,0.929622,0.959737,90.763928,
98,7.081539,7.162941,0.962183,0.920556,0.934834,0.965762,0.983424,0.414446,0.869832,0.937051,0.964644,92.218989,
