Frame,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.000000,0.000000,0.976897,0.946313,0.956136,0.983945,0.993266,0.398637,0.946913,0.976719,0.987415,90.881319,
1,2.993110,2.993110,0.977571,0.943030,0.957321,0.984664,0.995081,0.398755,0.952474,0.980146,0.989145,94.861289,
2,2.483001,3.001437,0.976342,0.938805,0.953532,0.984291,0.995666,0.397143,0.955249,0.981619,0.989897,94.141508,
3,2.267103,2.483001,0.976201,0.937294,0.950894,0.984644,0.996876,0.394837,0.955481,0.982038,0.990372,93.921693,
4,2.267103,2.267103,0.979751,0.947380,0.962080,0.986291,0.995418,0.419115,0.961212,0.983898,0.991101,94.786472,
5,2.503249,2.503249,0.975896,0.936330,0.951403,0.985173,0.995628,0.392137,0.954810,0.981766,0.990578,94.140434,
6,2.741719,3.190380,0.977100,0.941477,0.953821,0.985612,0.995496,0.399728,0.957337,0.982800,0.991090,94.752904,
7,2.741719,2.741719,0.975006,0.935536,0.949817,0.983981,0.995407,0.389407,0.954804,0.981761,0.990393,94.217354,
8,2.149224,3.160897,0.980735,0.950637,0.964564,0.986516,0.995232,0.429504,0.964764,0.985448,0.991998,94.988619,
9,2.149224,2.149224,0.976032,0.938675,0.953306,0.983379,0.995310,0.390177,0.954138,0.981342,0.989975,93.692518,
10,2.891053,2.891053,0.976431,0.940658,0.953470,0.983350,0.995544,0.402230,0.957682,0.983127,0.991227,94.804222,
11,2.969662,2.969662,0.975026,0.935061,0.948974,0.982894,0.996378,0.385521,0.954672,0.982001,0.990622,94.521744,
12,2.913586,3.048843,0.980158,0.947953,0.962396,0.986446,0.995865,0.427438,0.965017,0.985836,0.992245,95.806379,
13,2.913586,2.913586,0.977809,0.939049,0.954969,0.987059,0.995725,0.391181,0.955320,0.982172,0.990613,95.049949,
14,2.974712,3.248104,0.977806,0.940103,0.954057,0.986309,0.996843,0.398328,0.958308,0.983539,0.991537,95.248624,
15,2.974712,2.974712,0.979398,0.940884,0.955702,0.989092,0.997775,0.400743,0.961532,0.985032,0.992167,95.710955,
16,3.126451,3.530510,0.976235,0.940588,0.952730,0.984422,0.994930,0.404538,0.960562,0.984282,0.991755,95.132023,
17,2.670191,3.126451,0.980102,0.939414,0.957457,0.989390,0.999207,0.403068,0.962241,0.985416,0.992341,95.536438,
18,2.335353,2.670191,0.977891,0.939789,0.953565,0.987114,0.996925,0.393913,0.957828,0.983455,0.991221,94.502055,
