Frame,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.000000,0.000000,0.908771,0.890142,0.844195,0.912244,0.946793,0.222813,0.735138,0.842418,0.901789,66.259948,
1,2.993110,2.993110,0.900301,0.882535,0.835933,0.898674,0.942001,0.215311,0.709491,0.822591,0.889247,66.370972,
2,2.483001,3.001437,0.902092,0.875415,0.838488,0.902445,0.945123,0.214569,0.716605,0.829026,0.894387,66.732578,
3,2.267103,2.483001,0.900347,0.876688,0.832201,0.900906,0.944351,0.216314,0.716911,0.829085,0.895157,66.207260,
4,2.267103,2.267103,0.904115,0.885070,0.842420,0.903816,0.943548,0.220474,0.723637,0.833759,0.896898,67.166445,
5,2.503249,2.503249,0.898797,0.877240,0.833093,0.900288,0.940222,0.217589,0.715622,0.827740,0.892637,65.921500,
6,2.741719,3.190380,0.902662,0.877892,0.842885,0.901924,0.944188,0.218381,0.717594,0.829028,0.894600,67.100090,
7,2.741719,2.741719,0.898594,0.873905,0.832313,0.895288,0.945465,0.215730,0.711462,0.824702,0.892328,66.045944,
8,2.149224,3.160897,0.904376,0.879825,0.843509,0.903418,0.945385,0.219944,0.722653,0.833489,0.897047,67.107267,
9,2.149224,2.149224,0.900757,0.877880,0.839990,0.897825,0.942816,0.216120,0.709203,0.822458,0.889943,65.633000,
10,2.891053,2.891053,0.901689,0.876289,0.837308,0.900012,0.945306,0.217345,0.714653,0.827946,0.895414,67.110619,
11,2.969662,2.969662,0.897913,0.869413,0.829945,0.894512,0.945718,0.212861,0.709689,0.824676,0.893850,66.283158,
12,2.913586,3.048843,0.902566,0.874743,0.840616,0.902171,0.944938,0.217610,0.722192,0.833942,0.899045,67.715464,
13,2.913586,2.913586,0.901728,0.877711,0.835307,0.901053,0.944389,0.219736,0.717171,0.830432,0.897386,67.335478,
14,2.974712,3.248104,0.900544,0.872756,0.838243,0.899402,0.943619,0.216593,0.716458,0.829770,0.897306,67.157095,
15,2.974712,2.974712,0.900302,0.873287,0.837190,0.899300,0.943552,0.215689,0.714028,0.828012,0.895528,66.945651,
16,3.126451,3.530510,0.901280,0.871989,0.835791,0.901070,0.946422,0.217183,0.722664,0.835204,0.899231,67.734865,
17,2.670191,3.126451,0.899569,0.872821,0.838207,0.895393,0.944691,0.216231,0.714801,0.828711,0.895415,66.492590,
