Frame,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.000000,0.000000,0.960141,0.930902,0.932450,0.964835,0.981629,0.378686,0.936759,0.968927,0.981677,86.577008,
1,2.993110,2.993110,0.955648,0.926235,0.927050,0.959384,0.978410,0.346152,0.912105,0.957160,0.975866,88.192712,
2,2.483001,3.001437,0.954512,0.919158,0.922457,0.958920,0.980777,0.343832,0.912805,0.957749,0.975718,87.396123,
3,2.267103,2.483001,0.955822,0.921950,0.923465,0.960678,0.981267,0.347977,0.913096,0.958125,0.976361,87.482472,
4,2.267103,2.267103,0.957364,0.926183,0.928281,0.960839,0.981075,0.349768,0.912594,0.957993,0.976490,87.807211,
5,2.503249,2.503249,0.956821,0.923274,0.926727,0.962810,0.980058,0.349900,0.913046,0.958455,0.976924,88.015316,
6,2.741719,3.190380,0.958334,0.925161,0.929215,0.963712,0.981553,0.349248,0.913856,0.958978,0.977136,88.648079,
7,2.741719,2.741719,0.958597,0.924659,0.929210,0.963186,0.982807,0.350583,0.914592,0.959595,0.977764,88.776647,
8,2.149224,3.160897,0.959434,0.925295,0.929991,0.963394,0.983703,0.349083,0.913513,0.959065,0.977262,88.220091,
9,2.149224,2.149224,0.960040,0.926489,0.932267,0.963821,0.983428,0.350907,0.913823,0.959241,0.977617,88.378885,
10,2.891053,2.891053,0.958684,0.924579,0.929510,0.962415,0.982942,0.351635,0.914468,0.959904,0.978091,89.000535,
11,2.969662,2.969662,0.959728,0.923382,0.928988,0.964611,0.984586,0.348418,0.915378,0.960653,0.978669,89.397899,
12,2.913586,3.048843,0.960426,0.929987,0.934441,0.964556,0.981491,0.376065,0.936535,0.968978,0.981790,90.048957,
13,2.913586,2.913586,0.956996,0.927785,0.928237,0.960168,0.979371,0.346068,0.911647,0.956976,0.975332,88.338010,
14,2.974712,3.248104,0.955841,0.923171,0.924599,0.960107,0.980315,0.346446,0.912642,0.957475,0.975718,88.214233,
15,2.974712,2.974712,0.956564,0.924016,0.926289,0.960986,0.980449,0.345325,0.911422,0.957071,0.975555,88.339043,
16,3.126451,3.530510,0.956685,0.922911,0.926162,0.961675,0.980956,0.347791,0.913197,0.958482,0.976458,88.662237,
17,2.670191,3.126451,0.958840,0.924402,0.931067,0.962615,0.982777,0.348295,0.912923,0.958393,0.976675,88.614254,
18,2.335353,2.670191,0.957960,0.922369,0.928738,0.962598,0.982301,0.347157,0.913989,0.959192,0.977349,88.139065,
19,2.335353,2.335353,0.959768,0.925835,0.930762,0.964967,0.982751,0.348325,0.913623,0.959013,0.977589,88.529223,
20,3.128903,3.144007,0.959603,0.924126,0.930765,0.963542,0.983934,0.349531,0.914109,0.959072,0.977458,89.383690,
21,3.128903,3.128903,0.961056,0.925813,0.933814,0.965103,0.984213,0.348588,0.914728,0.959708,0.977598,89.733084,
22,2.817437,3.360403,0.960777,0.927329,0.933384,0.964952,0.983395,0.349684,0.914682,0.959903,0.977642,89.330291,
23,2.817437,2.817437,0.960780,0.926672,0.934210,0.964390,0.983609,0.350110,0.915042,0.959920,0.977587,89.326611,
24,2.958421,2.958421,0.960505,0.930712,0.934316,0.963703,0.982022,0.376884,0.936792,0.969020,0.981479,90.092482,
25,3.111724,3.786428,0.954953,0.924799,0.926242,0.959772,0.977031,0.343549,0.912999,0.957648,0.975543,88.182257,
26,3.029972,3.111724,0.956098,0.924136,0.928281,0.959964,0.979294,0.344812,0.913439,0.958285,0.976426,88.426457,
27,3.029972,3.029972,0.958129,0.926601,0.931486,0.962299,0.980031,0.348706,0.911904,0.957349,0.976004,88.771229,
28,3.138617,3.583854,0.957498,0.923677,0.928371,0.962364,0.980818,0.346417,0.913148,0.957947,0.975939,88.787701,
29,3.033898,3.138617,0.959831,0.927731,0.929910,0.964312,0.983077,0.349671,0.913525,0.958611,0.976941,89.263030,
30,3.033898,3.033898,0.958434,0.921756,0.927795,0.962691,0.984297,0.345995,0.914757,0.959519,0.977473,89.058900,
31,3.269338,3.330955,0.959644,0.925375,0.932630,0.963746,0.982686,0.349428,0.915489,0.959995,0.978038,89.637731,
32,3.269338,3.269338,0.960369,0.926646,0.933248,0.965125,0.982891,0.347819,0.915243,0.960244,0.978430,89.837007,
33,2.486100,3.478899,0.960084,0.928094,0.933495,0.963516,0.982810,0.352473,0.914925,0.960063,0.978213,88.851739,
34,2.486100,2.486100,0.959453,0.926640,0.931351,0.963497,0.982795,0.349700,0.915853,0.960497,0.978458,88.764744,
35,2.989809,3.278352,0.960720,0.925206,0.931382,0.966187,0.984365,0.347667,0.916143,0.960721,0.978387,89.614308,
36,2.989809,2.989809,0.961294,0.931835,0.934969,0.964778,0.983066,0.375327,0.936932,0.968940,0.981579,90.304635,
37,3.216210,3.371692,0.956245,0.925503,0.927822,0.960878,0.978662,0.344673,0.912533,0.957498,0.976037,88.602509,
38,3.183229,3.216210,0.956858,0.924252,0.928094,0.960440,0.980777,0.344890,0.912848,0.957923,0.976145,88.721511,
39,2.774606,3.183229,0.956948,0.922559,0.926832,0.961954,0.980719,0.345239,0.913807,0.958492,0.976868,88.361032,
40,2.774606,2.774606,0.958260,0.925709,0.927913,0.963014,0.981588,0.345874,0.914078,0.958797,0.977075,88.666463,
41,2.409463,3.157815,0.959387,0.925672,0.930111,0.964675,0.982261,0.347018,0.915051,0.959407,0.977119,88.517745,
42,2.409463,2.409463,0.959646,0.925772,0.930326,0.964496,0.982937,0.347563,0.914615,0.958966,0.976329,88.489146,
43,2.333724,2.717667,0.960289,0.925554,0.930841,0.966561,0.982779,0.349053,0.915383,0.959777,0.977135,88.633918,
44,2.333724,2.333724,0.961982,0.927682,0.934208,0.967571,0.983788,0.351447,0.916035,0.960297,0.977539,89.040550,
45,2.573257,3.024466,0.959455,0.924385,0.931091,0.964656,0.982486,0.347190,0.915930,0.960185,0.977177,88.756593,
46,2.573257,2.573257,0.960415,0.927975,0.932718,0.964205,0.983291,0.351595,0.914635,0.959346,0.977147,88.908077,
47,2.551608,3.305539,0.960760,0.924676,0.932757,0.965744,0.984081,0.347716,0.916621,0.960931,0.978424,89.138191,
48,2.551608,2.551608,0.961353,0.933646,0.934478,0.964381,0.982149,0.382281,0.936902,0.968789,0.981453,89.781140,
49,2.390613,3.450482,0.954848,0.921691,0.923956,0.958225,0.979516,0.341600,0.913589,0.957794,0.975852,87.382142,
50,2.390613,2.390613,0.956949,0.924410,0.927104,0.959386,0.981439,0.347476,0.913243,0.958227,0.976477,87.876307,
51,3.016198,3.016198,0.955246,0.919820,0.924076,0.958002,0.981188,0.343795,0.913264,0.958261,0.976267,88.219755,
52,3.500248,3.501557,0.957405,0.924019,0.927705,0.960659,0.981584,0.347450,0.913124,0.957991,0.976139,89.189197,
53,2.787894,3.500248,0.957688,0.922413,0.928719,0.961035,0.982316,0.346848,0.913767,0.958538,0.976612,88.509831,
54,2.653722,2.787894,0.958450,0.923830,0.928298,0.962227,0.983141,0.346469,0.913491,0.958469,0.976498,88.507937,
55,2.653722,2.653722,0.959281,0.925252,0.931309,0.963627,0.982267,0.347890,0.913699,0.958681,0.976915,88.721953,
56,2.961709,3.399944,0.959841,0.926295,0.931944,0.964288,0.982607,0.350315,0.913879,0.958718,0.976730,89.170189,
57,2.961709,2.961709,0.960268,0.926305,0.931720,0.967062,0.982024,0.351768,0.914568,0.959331,0.977257,89.325408,
58,2.871854,3.199983,0.959404,0.923862,0.932696,0.965886,0.981024,0.348899,0.915051,0.959421,0.977475,89.069934,
59,2.871854,2.871854,0.961667,0.927787,0.933581,0.966702,0.984211,0.351639,0.915593,0.960192,0.977984,89.616006,
60,2.629918,3.003606,0.961174,0.930987,0.933008,0.964982,0.983169,0.378537,0.936730,0.968835,0.981570,89.853529,
61,2.629918,2.629918,0.956187,0.925766,0.926147,0.959267,0.979850,0.345884,0.912432,0.956909,0.975126,87.827996,
62,3.007744,3.271484,0.954387,0.920104,0.922340,0.959742,0.979042,0.344984,0.912968,0.957278,0.975452,87.918735,
63,2.914592,3.007744,0.957061,0.923363,0.926245,0.962020,0.981070,0.348276,0.912958,0.957684,0.976083,88.437373,
64,2.316711,2.914592,0.957848,0.924408,0.928842,0.961354,0.981840,0.348818,0.913985,0.958533,0.976919,88.027249,
65,2.316711,2.316711,0.963576,0.929037,0.936166,0.966928,0.986939,0.361290,0.923447,0.964337,0.980472,89.746645,
66,2.666735,2.666735,0.959344,0.921708,0.927825,0.964280,0.984956,0.349551,0.916627,0.960647,0.978633,88.968698,
67,3.083303,3.083303,0.962470,0.931243,0.933725,0.966685,0.984760,0.359893,0.916754,0.960632,0.978326,90.052352,
68,2.798364,3.178755,0.960540,0.924978,0.930355,0.966168,0.984226,0.351635,0.917576,0.961194,0.978607,89.388316,
69,2.798364,2.798364,0.962601,0.928532,0.934068,0.966464,0.985801,0.353398,0.917263,0.961051,0.978498,89.805468,
70,3.117213,3.179531,0.961529,0.926342,0.931939,0.964428,0.986144,0.352067,0.916664,0.960679,0.978308,89.911155,
71,2.707632,3.117213,0.962244,0.928600,0.933258,0.966968,0.984501,0.354817,0.917010,0.960883,0.978192,89.590911,
72,2.529546,2.707632,0.961856,0.931812,0.934597,0.964764,0.983632,0.377504,0.937391,0.969034,0.981625,89.900068,
73,2.529546,2.529546,0.957441,0.926829,0.928095,0.959687,0.980910,0.346363,0.913347,0.957815,0.975932,88.080955,
74,2.542683,2.735788,0.957321,0.925795,0.925808,0.960093,0.981858,0.348541,0.913095,0.957710,0.975900,88.057215,
75,2.542683,2.542683,0.957344,0.925236,0.927003,0.960946,0.981068,0.348135,0.913218,0.957794,0.976173,88.088552,
76,2.634978,3.883925,0.958185,0.927606,0.929126,0.960234,0.981719,0.353280,0.913311,0.957919,0.976132,88.358947,
77,2.634978,2.634978,0.959640,0.928246,0.930958,0.961556,0.983134,0.354117,0.913241,0.957756,0.976135,88.658033,
78,3.149047,3.179606,0.958863,0.925180,0.928987,0.962212,0.982821,0.352419,0.914078,0.958353,0.976463,89.132692,
79,3.149047,3.149047,0.958227,0.923227,0.926527,0.961247,0.983954,0.350280,0.914839,0.959100,0.977273,89.100326,
80,2.588830,3.465002,0.960052,0.926926,0.931709,0.963782,0.982640,0.355978,0.915076,0.958856,0.976671,88.778837,
81,2.420542,2.588830,0.959863,0.925830,0.929714,0.964091,0.983493,0.351427,0.915141,0.959340,0.977337,88.633016,
82,2.420542,2.420542,0.960284,0.926648,0.931051,0.965527,0.982828,0.354076,0.915666,0.959862,0.977827,88.776396,
83,2.624824,2.624824,0.958932,0.923057,0.928188,0.964675,0.982915,0.351373,0.915429,0.959572,0.977423,88.685772,
84,2.644044,3.608247,0.961186,0.933062,0.934230,0.964363,0.981888,0.386974,0.937407,0.969327,0.982198,89.924203,
85,2.413296,2.644044,0.956552,0.926956,0.924524,0.958930,0.980505,0.349403,0.912774,0.957411,0.975632,87.710765,
86,2.413296,2.413296,0.957992,0.929810,0.927083,0.960246,0.980959,0.358412,0.912823,0.957720,0.976356,88.060145,
87,2.607900,2.607900,0.955664,0.922400,0.923039,0.958630,0.980993,0.351309,0.913549,0.958460,0.976987,87.891379,
88,2.978226,3.726733,0.958602,0.928282,0.927984,0.961436,0.981503,0.360873,0.913100,0.958099,0.976554,88.857722,
89,2.902678,2.978226,0.957380,0.924092,0.925451,0.961407,0.981686,0.350971,0.914564,0.959438,0.977431,88.667208,
90,2.843932,2.902678,0.958618,0.926378,0.927632,0.963637,0.981633,0.354529,0.914564,0.959392,0.977439,88.852085,
91,2.843932,2.843932,0.961834,0.934050,0.934752,0.964518,0.982850,0.364661,0.915203,0.959439,0.977195,89.490750,
92,2.930627,2.930627,0.959254,0.924071,0.929973,0.963089,0.983202,0.355252,0.915541,0.960438,0.978594,89.220401,
93,3.163429,3.348509,0.957789,0.923395,0.927011,0.961916,0.982277,0.355480,0.915494,0.960028,0.977962,89.105023,
94,3.163429,3.163429,0.960218,0.925958,0.930138,0.963900,0.984469,0.354887,0.916030,0.960109,0.978026,89.630787,
95,2.581322,3.431757,0.963466,0.931963,0.936753,0.967519,0.984386,0.363883,0.915771,0.960041,0.978101,89.637558,
96,2.581322,2.581322,0.961188,0.931493,0.934227,0.964179,0.982799,0.384369,0.937483,0.969430,0.982043,89.850856,
97,2.868470,2.868470,0.957403,0.930699,0.929147,0.960642,0.978385,0.363122,0.911440,0.956812,0.975191,88.308873,
98,3.025072,3.025072,0.955405,0.922525,0.923326,0.959196,0.980627,0.352962,0.913159,0.958133,0.976607,88.259936,
99,3.072387,4.309034,0.958698,0.932515,0.929325,0.960935,0.980998,0.364999,0.912232,0.957558,0.976181,88.920630,
100,3.072387,3.072387,0.957732,0.925233,0.926597,0.961314,0.982079,0.357982,0.913296,0.958582,0.977182,88.857961,
101,2.666171,3.667942,0.960497,0.932675,0.931145,0.962846,0.982668,0.369484,0.913480,0.958573,0.977225,88.955300,
102,2.666171,2.666171,0.956961,0.921979,0.924651,0.960258,0.982575,0.355095,0.913714,0.958570,0.977074,88.232952,
103,2.985365,3.981900,0.957939,0.924894,0.924743,0.962369,0.982598,0.357860,0.914091,0.959052,0.977492,88.848950,
