n:1 mse_avg:5.37 mse_y:5.86 mse_u:5.21 mse_v:3.59 psnr_avg:40.83 psnr_y:40.45 psnr_u:40.96 psnr_v:42.58 
n:2 mse_avg:6.45 mse_y:7.15 mse_u:6.10 mse_v:3.98 psnr_avg:40.04 psnr_y:39.59 psnr_u:40.28 psnr_v:42.14 
n:3 mse_avg:6.37 mse_y:7.06 mse_u:6.03 mse_v:3.93 psnr_avg:40.09 psnr_y:39.64 psnr_u:40.33 psnr_v:42.19 
n:4 mse_avg:6.31 mse_y:7.00 mse_u:5.98 mse_v:3.88 psnr_avg:40.13 psnr_y:39.68 psnr_u:40.36 psnr_v:42.24 
n:5 mse_avg:6.29 mse_y:6.98 mse_u:5.96 mse_v:3.85 psnr_avg:40.15 psnr_y:39.69 psnr_u:40.38 psnr_v:42.28 
n:6 mse_avg:6.27 mse_y:6.96 mse_u:5.96 mse_v:3.85 psnr_avg:40.16 psnr_y:39.71 psnr_u:40.38 psnr_v:42.28 
n:7 mse_avg:6.31 mse_y:7.01 mse_u:5.98 mse_v:3.84 psnr_avg:40.13 psnr_y:39.67 psnr_u:40.36 psnr_v:42.29 
n:8 mse_avg:6.27 mse_y:6.97 mse_u:5.94 mse_v:3.83 psnr_avg:40.16 psnr_y:39.70 psnr_u:40.40 psnr_v:42.30 
n:9 mse_avg:6.32 mse_y:7.02 mse_u:5.98 mse_v:3.85 psnr_avg:40.13 psnr_y:39.67 psnr_u:40.37 psnr_v:42.27 
n:10 mse_avg:6.28 mse_y:6.97 mse_u:5.95 mse_v:3.83 psnr_avg:40.15 psnr_y:39.70 psnr_u:40.39 psnr_v:42.30 
n:11 mse_avg:6.29 mse_y:6.98 mse_u:5.99 mse_v:3.84 psnr_avg:40.14 psnr_y:39.69 psnr_u:40.36 psnr_v:42.29 
n:12 mse_avg:6.34 mse_y:7.05 mse_u:5.97 mse_v:3.85 psnr_avg:40.11 psnr_y:39.65 psnr_u:40.37 psnr_v:42.27 
n:13 mse_avg:5.38 mse_y:5.87 mse_u:5.20 mse_v:3.58 psnr_avg:40.82 psnr_y:40.44 psnr_u:40.97 psnr_v:42.59 
