Frame,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.000000,0.000000,0.996633,0.989725,0.994053,0.998023,0.999386,0.896202,0.997606,0.998827,0.999260,96.540691,
1,2.993110,2.993110,0.978923,0.954771,0.963715,0.982197,0.993091,0.435172,0.963992,0.984681,0.991488,95.505480,
2,2.483001,3.001437,0.983995,0.961528,0.973352,0.987453,0.995019,0.509415,0.976823,0.990205,0.994369,96.396659,
3,2.267103,2.483001,0.981354,0.957942,0.968143,0.984881,0.993992,0.452598,0.968572,0.986546,0.992490,95.317514,
4,2.267103,2.267103,0.987567,0.968676,0.978902,0.990877,0.996266,0.581219,0.983884,0.993322,0.996265,97.138028,
5,2.503249,2.503249,0.981009,0.956505,0.967270,0.985402,0.993609,0.450166,0.967976,0.986322,0.992497,95.517069,
6,2.741719,3.190380,0.984828,0.962416,0.973636,0.988652,0.995849,0.507606,0.976973,0.990489,0.994789,96.938234,
7,2.741719,2.741719,0.981070,0.957551,0.967945,0.984907,0.993473,0.451263,0.968691,0.986718,0.992518,95.832139,
8,2.149224,3.160897,0.991879,0.976913,0.986004,0.994603,0.998091,0.692335,0.990643,0.996060,0.997778,98.117390,
9,2.149224,2.149224,0.979810,0.955288,0.965758,0.983033,0.993295,0.436801,0.964812,0.984857,0.991554,94.713830,
10,2.891053,2.891053,0.992061,0.977823,0.986153,0.994600,0.998171,0.711092,0.991743,0.996505,0.997897,99.128504,
11,2.969662,2.969662,0.980724,0.956208,0.966366,0.984123,0.994134,0.443885,0.966431,0.985561,0.992011,95.939261,
12,2.913586,3.048843,0.987969,0.968634,0.979571,0.990844,0.996951,0.584012,0.983787,0.993242,0.996138,98.004254,
13,2.913586,2.913586,0.981663,0.956803,0.967591,0.985585,0.994465,0.448660,0.967803,0.986141,0.992230,96.115355,
14,2.974712,3.248104,0.984406,0.962582,0.973179,0.987698,0.995421,0.507583,0.977051,0.990396,0.994546,97.103269,
15,2.974712,2.974712,0.981220,0.957668,0.967100,0.985722,0.993422,0.449982,0.968222,0.986535,0.992517,96.131662,
16,3.126451,3.530510,0.991827,0.977229,0.985629,0.994457,0.998273,0.692254,0.990729,0.996165,0.997833,99.352785,
17,2.670191,3.126451,0.980528,0.955065,0.967805,0.983562,0.993937,0.438967,0.965381,0.985073,0.991728,95.505458,
18,2.335353,2.670191,0.984694,0.962409,0.973554,0.987995,0.995888,0.505515,0.977081,0.990518,0.994737,96.419620,
19,2.335353,2.335353,0.981669,0.957614,0.968594,0.985775,0.993772,0.451583,0.968673,0.986638,0.992441,95.468845,
20,3.128903,3.144007,0.992445,0.978522,0.986990,0.994610,0.998498,0.712488,0.992223,0.996742,0.998015,99.535702,
21,3.128903,3.128903,0.981758,0.956891,0.968130,0.985104,0.994867,0.444253,0.967170,0.985977,0.992021,96.369749,
22,2.817437,3.360403,0.984614,0.962342,0.973757,0.987927,0.995480,0.505338,0.977171,0.990562,0.994542,96.969945,
23,2.817437,2.817437,0.981854,0.957664,0.969044,0.985575,0.994058,0.450453,0.968790,0.986709,0.992530,96.092702,
24,2.958421,2.958421,0.991974,0.976644,0.985980,0.994408,0.998589,0.692311,0.990868,0.996199,0.997728,99.166962,
25,3.111724,3.786428,0.980130,0.956455,0.966086,0.983549,0.993320,0.437329,0.965406,0.985168,0.991679,95.941604,
26,3.029972,3.111724,0.984827,0.963327,0.974220,0.988747,0.995085,0.504142,0.977275,0.990601,0.994833,97.297732,
27,3.029972,3.029972,0.982061,0.957765,0.969707,0.986114,0.993984,0.450159,0.968292,0.986485,0.992400,96.366161,
28,3.138617,3.583854,0.987986,0.968302,0.979232,0.991386,0.996841,0.579732,0.983996,0.993458,0.996307,98.310740,
29,3.033898,3.138617,0.982133,0.957933,0.968921,0.986134,0.994353,0.448850,0.967963,0.986204,0.992352,96.370970,
30,3.033898,3.033898,0.992369,0.978357,0.986590,0.994948,0.998382,0.711672,0.992127,0.996674,0.998078,99.400674,
31,3.269338,3.330955,0.981605,0.957925,0.967901,0.985462,0.994132,0.443479,0.966702,0.985658,0.991754,96.465522,
32,3.269338,3.269338,0.992025,0.976854,0.986411,0.994784,0.998210,0.690777,0.990745,0.996045,0.997650,99.555497,
33,2.486100,3.478899,0.979482,0.956152,0.965788,0.983354,0.991971,0.433999,0.964356,0.984659,0.991360,95.021477,
34,2.486100,2.486100,0.984447,0.962860,0.973090,0.988218,0.995185,0.501896,0.976954,0.990238,0.994442,96.516577,
35,2.989809,3.278352,0.981661,0.957351,0.968358,0.986442,0.993481,0.448223,0.968600,0.986547,0.992368,96.236917,
36,2.989809,2.989809,0.988008,0.968941,0.979423,0.991132,0.996931,0.579926,0.983963,0.993289,0.996125,98.111157,
37,3.216210,3.371692,0.981364,0.957436,0.968728,0.985293,0.993545,0.448487,0.968077,0.986386,0.992542,96.443911,
38,3.183229,3.216210,0.985024,0.962972,0.974770,0.988397,0.995633,0.502980,0.976975,0.990210,0.994526,97.481695,
39,2.774606,3.183229,0.981391,0.956872,0.968122,0.985205,0.993927,0.450183,0.968858,0.986672,0.992458,95.935636,
40,2.774606,2.774606,0.992750,0.978696,0.986864,0.995393,0.998663,0.710401,0.992240,0.996777,0.998069,99.159977,
41,2.409463,3.157815,0.981677,0.956386,0.967588,0.985816,0.994642,0.444052,0.967586,0.986107,0.991926,95.503729,
42,2.409463,2.409463,0.984710,0.962811,0.973933,0.988163,0.995300,0.502338,0.976781,0.990156,0.994399,96.472650,
43,2.333724,2.717667,0.981502,0.957436,0.968211,0.985425,0.993768,0.449702,0.968611,0.986645,0.992396,95.430934,
44,2.333724,2.333724,0.988304,0.968480,0.979870,0.991943,0.996697,0.577161,0.984020,0.993289,0.996201,97.378355,
45,2.573257,3.024466,0.981155,0.956595,0.967749,0.985027,0.993770,0.447391,0.967896,0.986237,0.992249,95.612164,
46,2.573257,2.573257,0.984933,0.963065,0.974196,0.988438,0.995501,0.503312,0.976684,0.990012,0.994392,96.709581,
47,2.551608,3.305539,0.981595,0.956989,0.968864,0.985381,0.993919,0.448790,0.969108,0.986816,0.992657,95.741230,
48,2.551608,2.551608,0.992175,0.976880,0.986234,0.994537,0.998663,0.687997,0.990856,0.996076,0.997667,98.687782,
49,2.390613,3.450482,0.980006,0.955034,0.966069,0.983076,0.993458,0.437143,0.966171,0.985518,0.992091,95.117771,
50,2.390613,2.390613,0.992589,0.978331,0.986938,0.994914,0.998623,0.709938,0.992102,0.996733,0.998161,98.641002,
51,3.016198,3.016198,0.980240,0.955766,0.966558,0.982955,0.993594,0.443782,0.967034,0.985724,0.991911,95.891078,
52,3.500248,3.501557,0.988024,0.968794,0.979195,0.990785,0.997088,0.580793,0.983678,0.993080,0.996045,98.719212,
53,2.787894,3.500248,0.981467,0.956035,0.968230,0.984492,0.994836,0.447117,0.968212,0.986346,0.992397,95.951190,
54,2.653722,2.787894,0.984900,0.962803,0.973602,0.987669,0.996332,0.504246,0.976841,0.990283,0.994485,96.818247,
55,2.653722,2.653722,0.981435,0.957399,0.968086,0.984613,0.994303,0.449469,0.968819,0.986827,0.992637,95.824514,
56,2.961709,3.399944,0.991848,0.976696,0.985836,0.994633,0.998114,0.687771,0.990703,0.995955,0.997515,99.115731,
57,2.961709,2.961709,0.980073,0.955608,0.965329,0.983453,0.993930,0.437673,0.965216,0.984958,0.991468,95.726087,
58,2.871854,3.199983,0.984610,0.962411,0.974095,0.988451,0.995041,0.503785,0.977032,0.990310,0.994589,97.028364,
59,2.871854,2.871854,0.981903,0.958225,0.968668,0.986060,0.993848,0.450234,0.968579,0.986732,0.992665,96.178860,
60,2.629918,3.003606,0.992553,0.978006,0.986385,0.995328,0.998631,0.709813,0.992203,0.996782,0.997982,98.926214,
61,2.629918,2.629918,0.980696,0.956390,0.966098,0.984792,0.993485,0.445104,0.966879,0.985657,0.991857,95.524028,
62,3.007744,3.271484,0.983920,0.962152,0.972680,0.988023,0.994260,0.504606,0.976891,0.990233,0.994448,97.025544,
63,2.914592,3.007744,0.981616,0.958115,0.967555,0.986072,0.993701,0.451473,0.968805,0.986661,0.992659,96.162657,
64,2.316711,2.914592,0.991677,0.976757,0.985629,0.994351,0.997964,0.687159,0.990895,0.996234,0.997798,98.299471,
65,2.316711,2.316711,0.981223,0.957098,0.966584,0.985775,0.993528,0.445789,0.966450,0.985076,0.991368,95.198829,
66,2.666735,2.666735,0.984354,0.962051,0.973382,0.988070,0.994957,0.502331,0.977207,0.990400,0.994596,96.733974,
67,3.083303,3.083303,0.982349,0.958687,0.969050,0.986647,0.994033,0.454260,0.968471,0.986290,0.991922,96.437963,
68,2.798364,3.178755,0.987860,0.968224,0.978503,0.991364,0.996866,0.577252,0.984043,0.993357,0.996152,97.852555,
69,2.798364,2.798364,0.981269,0.956476,0.967574,0.984985,0.993884,0.447675,0.967867,0.986126,0.992136,95.888158,
70,3.117213,3.179531,0.992467,0.977685,0.986231,0.995118,0.998624,0.708727,0.992285,0.996792,0.998082,99.534111,
71,2.707632,3.117213,0.980443,0.956537,0.966625,0.983686,0.992993,0.443567,0.966518,0.985388,0.991460,95.518940,
72,2.529546,2.707632,0.991691,0.976619,0.985323,0.993974,0.998337,0.689830,0.990809,0.996104,0.997914,98.574464,
73,2.529546,2.529546,0.980543,0.955991,0.965571,0.983274,0.994383,0.435773,0.965655,0.985335,0.991737,95.361645,
74,2.542683,2.735788,0.984985,0.962999,0.973587,0.988536,0.995558,0.502466,0.977002,0.990310,0.994387,96.699188,
75,2.542683,2.542683,0.981835,0.957188,0.967517,0.985923,0.994498,0.448757,0.968673,0.986545,0.992288,95.739338,
76,2.634978,3.883925,0.988158,0.968880,0.979375,0.991567,0.996590,0.577322,0.983883,0.993200,0.996061,97.701578,
77,2.634978,2.634978,0.980980,0.956693,0.967718,0.984251,0.993368,0.449155,0.967555,0.985891,0.992065,95.613308,
78,3.149047,3.179606,0.984685,0.962019,0.973444,0.988113,0.995474,0.503466,0.976896,0.990264,0.994555,97.371481,
79,3.149047,3.149047,0.981337,0.957442,0.967308,0.984461,0.994266,0.451780,0.968594,0.986463,0.992391,96.347131,
80,2.588830,3.465002,0.992729,0.978243,0.986826,0.994992,0.998899,0.708870,0.992186,0.996668,0.997934,98.903680,
81,2.420542,2.588830,0.980814,0.956284,0.966174,0.984115,0.994095,0.445524,0.967145,0.985901,0.992100,95.332050,
82,2.420542,2.420542,0.984738,0.962742,0.973158,0.987978,0.995809,0.504518,0.976882,0.990408,0.994748,96.528725,
83,2.624824,2.624824,0.981249,0.957323,0.967462,0.984925,0.993918,0.452310,0.968607,0.986570,0.992193,95.697594,
84,2.644044,3.608247,0.988263,0.969261,0.979980,0.991335,0.996570,0.580327,0.984004,0.993276,0.996270,97.753473,
85,2.413296,2.644044,0.981210,0.956232,0.966496,0.984483,0.994420,0.451264,0.967875,0.986278,0.992254,95.429751,
86,2.413296,2.413296,0.985396,0.962683,0.973439,0.988828,0.996315,0.504773,0.977139,0.990526,0.994713,96.665143,
87,2.607900,2.607900,0.980954,0.956275,0.966301,0.984251,0.994153,0.453069,0.968575,0.986471,0.992494,95.632448,
88,2.978226,3.726733,0.992018,0.976747,0.985844,0.994626,0.998177,0.688782,0.990655,0.995986,0.997612,99.182373,
89,2.902678,2.978226,0.980206,0.954869,0.964656,0.983324,0.994310,0.441832,0.966716,0.985656,0.992007,95.757297,
90,2.843932,2.902678,0.992477,0.977929,0.986569,0.994949,0.998620,0.709849,0.992187,0.996760,0.998201,99.198134,
91,2.843932,2.843932,0.981007,0.956558,0.966873,0.984457,0.993824,0.448879,0.966052,0.985287,0.991581,95.795838,
92,2.930627,2.930627,0.987895,0.967335,0.978711,0.990932,0.997289,0.578539,0.983973,0.993366,0.996247,98.028704,
93,3.163429,3.348509,0.980621,0.956516,0.966176,0.984009,0.993769,0.452803,0.968000,0.986164,0.992371,96.191460,
94,3.163429,3.163429,0.984938,0.962201,0.973720,0.988145,0.996020,0.504872,0.977123,0.990344,0.994642,97.452952,
95,2.581322,3.431757,0.982147,0.957007,0.968404,0.985673,0.994852,0.456100,0.968177,0.986312,0.992358,95.833285,
96,2.581322,2.581322,0.991694,0.975770,0.984912,0.994412,0.998536,0.688051,0.990918,0.996193,0.997770,98.634292,
97,2.868470,2.868470,0.980533,0.956958,0.964846,0.984704,0.993361,0.447167,0.964642,0.984750,0.991316,95.676166,
98,3.025072,3.025072,0.984350,0.961812,0.972001,0.987715,0.996061,0.506094,0.977115,0.990379,0.994424,97.142919,
99,3.072387,4.309034,0.981665,0.958500,0.967826,0.984574,0.994506,0.460291,0.967693,0.986087,0.992189,96.278595,
100,3.072387,3.072387,0.992484,0.977310,0.986272,0.995192,0.998812,0.709644,0.992194,0.996785,0.998021,99.475466,
101,2.666171,3.667942,0.980665,0.956932,0.965642,0.984013,0.993609,0.454505,0.966072,0.985308,0.991641,95.508709,
102,2.666171,2.666171,0.983681,0.960777,0.972163,0.986584,0.995085,0.506992,0.976781,0.990119,0.994363,96.548547,
103,2.985365,3.981900,0.981141,0.957081,0.966870,0.984951,0.993675,0.456907,0.968748,0.986575,0.992399,96.110378,
104,2.985365,2.985365,0.991840,0.976221,0.985334,0.994930,0.998081,0.688230,0.990795,0.996050,0.997581,99.153776,
105,2.746750,3.409772,0.979713,0.955207,0.963876,0.983922,0.992846,0.442710,0.964604,0.984661,0.991353,95.362918,
106,2.746750,2.746750,0.984785,0.962422,0.973521,0.988140,0.995629,0.508316,0.977101,0.990413,0.994744,96.927440,
107,2.901597,3.050047,0.980706,0.956833,0.966328,0.985162,0.993113,0.456501,0.968269,0.986284,0.992316,95.897110,
108,2.901597,2.901597,0.988207,0.968561,0.979038,0.991579,0.997189,0.582252,0.983801,0.993218,0.996126,98.040658,
109,2.808957,3.453439,0.981260,0.956962,0.966938,0.984583,0.994311,0.453839,0.967847,0.986162,0.992090,95.886356,
110,2.808957,2.808957,0.992504,0.978290,0.986731,0.994615,0.998712,0.710678,0.992132,0.996734,0.997989,99.140776,
111,2.524016,3.058336,0.980751,0.957092,0.965883,0.984785,0.993283,0.453126,0.967242,0.985968,0.992117,95.432319,
112,2.524016,2.524016,0.991415,0.976230,0.985208,0.993951,0.997937,0.692288,0.990668,0.995984,0.997566,98.472205,
113,2.482778,2.856409,0.980175,0.955146,0.965203,0.983724,0.993741,0.439482,0.965593,0.985419,0.992091,95.252524,
114,2.482778,2.482778,0.984797,0.962534,0.973730,0.987674,0.995828,0.507431,0.976971,0.990224,0.994421,96.578206,
115,3.039674,3.241744,0.981713,0.957140,0.967208,0.985163,0.994803,0.455485,0.968660,0.986681,0.992727,96.330660,
116,2.973885,3.039674,0.987812,0.968421,0.978331,0.991059,0.996698,0.580537,0.983824,0.993195,0.996060,98.038606,
117,2.973885,2.973885,0.981195,0.956311,0.967107,0.985195,0.993701,0.452008,0.967920,0.986129,0.992194,96.077088,
118,3.049129,3.117246,0.985102,0.962425,0.973579,0.989213,0.995498,0.508728,0.976647,0.990195,0.994725,97.345460,
119,3.049129,3.049129,0.980514,0.955902,0.965972,0.984398,0.993462,0.454470,0.968713,0.986667,0.992679,96.080690,
120,3.169374,3.223961,0.992760,0.978376,0.986740,0.995394,0.998640,0.709573,0.992062,0.996615,0.998082,99.654689,
121,2.879025,3.169374,0.980747,0.955883,0.965464,0.983921,0.994650,0.451619,0.967400,0.986110,0.992324,95.877450,
122,2.524877,2.879025,0.984533,0.962321,0.972515,0.988059,0.995612,0.509419,0.977085,0.990460,0.994796,96.610400,
123,2.524877,2.524877,0.981191,0.956507,0.966937,0.984916,0.994113,0.457136,0.968908,0.986866,0.992731,95.615624,
124,3.434188,3.434188,0.987913,0.967966,0.978212,0.991107,0.997207,0.581740,0.984052,0.993402,0.996408,98.659452,
125,3.416031,3.814667,0.981687,0.957138,0.967803,0.985047,0.994428,0.458573,0.967844,0.986057,0.992235,96.692814,
126,3.088569,3.416031,0.984393,0.961708,0.972516,0.987560,0.995859,0.508110,0.977083,0.990390,0.994714,97.249409,
127,3.088569,3.088569,0.981810,0.957231,0.967505,0.985337,0.994586,0.458272,0.968741,0.986684,0.992621,96.396624,
128,3.542610,3.652204,0.996571,0.989567,0.994136,0.997722,0.999295,0.895609,0.997600,0.998809,0.999121,100.000000,
129,3.195752,3.542610,0.979092,0.954112,0.962818,0.982701,0.992953,0.441769,0.964539,0.984579,0.991110,95.734640,
130,3.128161,3.195752,0.984255,0.961748,0.972058,0.987814,0.995530,0.509852,0.977105,0.990261,0.994507,97.242518,
131,3.073176,3.128161,0.981646,0.957498,0.968083,0.985551,0.993761,0.456549,0.968542,0.986504,0.992365,96.316497,
132,3.073176,3.073176,0.987682,0.967814,0.978256,0.991132,0.996653,0.581945,0.983857,0.993173,0.995935,98.119802,
133,2.776382,3.536975,0.980762,0.956912,0.966434,0.984568,0.993234,0.454182,0.968658,0.986529,0.992423,95.785778,
134,2.776382,2.776382,0.984532,0.962046,0.972453,0.988229,0.995472,0.509851,0.977206,0.990317,0.994568,96.888335,
135,3.153688,3.357109,0.982227,0.959036,0.967418,0.986022,0.994260,0.465641,0.967711,0.985982,0.991870,96.457266,
136,3.153688,3.153688,0.991784,0.975917,0.984919,0.994732,0.998374,0.690941,0.990767,0.996033,0.997502,99.345301,
137,2.613118,3.471055,0.980522,0.955766,0.965346,0.984144,0.993663,0.445102,0.965149,0.984703,0.991202,95.366240,
138,2.613118,2.613118,0.992291,0.977923,0.985984,0.994777,0.998456,0.710663,0.991938,0.996645,0.997897,98.833182,
139,3.314027,3.885706,0.980987,0.957345,0.966112,0.984213,0.993926,0.451717,0.966323,0.985555,0.992047,96.390110,
140,3.314027,3.314027,0.988254,0.967904,0.979129,0.991635,0.997056,0.579871,0.984066,0.993370,0.996230,98.572880,
141,3.030579,3.620058,0.981320,0.956702,0.966503,0.984744,0.994184,0.456246,0.968044,0.986273,0.992329,96.181844,
142,3.030579,3.030579,0.984929,0.961760,0.972791,0.988243,0.996010,0.505986,0.977331,0.990572,0.994820,97.316125,
143,3.074993,3.562850,0.981312,0.956433,0.966945,0.984476,0.994294,0.455700,0.968998,0.986744,0.992671,96.284830,
144,3.074993,3.074993,0.992166,0.976698,0.986081,0.994735,0.998391,0.688412,0.991010,0.996230,0.997862,99.369478,
145,2.770343,3.570758,0.979615,0.954860,0.964791,0.982664,0.993193,0.444862,0.965797,0.985099,0.991559,95.405651,
146,2.770343,2.770343,0.985170,0.962567,0.973888,0.988751,0.995766,0.506666,0.977014,0.990271,0.994366,97.004019,
147,3.232094,3.295748,0.980335,0.956113,0.965341,0.984148,0.993351,0.455163,0.968835,0.986548,0.992432,96.231366,
148,2.651700,3.232094,0.992777,0.978021,0.986856,0.995439,0.998654,0.708637,0.992195,0.996705,0.997995,99.000764,
149,2.651700,2.651700,0.980042,0.955408,0.964626,0.982957,0.993802,0.450464,0.967548,0.985983,0.992046,95.431480,
150,2.671972,2.671972,0.984695,0.963694,0.971774,0.987941,0.995285,0.515808,0.975906,0.989511,0.993773,96.685099,
151,3.100235,3.100235,0.979634,0.954784,0.964300,0.982751,0.993412,0.453434,0.968685,0.986463,0.992323,95.914935,
152,3.133344,3.325126,0.992291,0.976885,0.986177,0.994896,0.998482,0.687256,0.991048,0.996176,0.997716,99.456268,
153,2.795475,3.133344,0.978967,0.952266,0.962490,0.982427,0.993570,0.442540,0.966037,0.985311,0.991890,95.336602,
154,2.795475,2.795475,0.984465,0.961807,0.972545,0.987271,0.995807,0.504959,0.976782,0.990117,0.994280,96.869359,
155,2.996212,2.996212,0.980442,0.956454,0.965090,0.983492,0.993800,0.457417,0.968641,0.986535,0.992553,95.981910,
156,3.351295,3.351295,0.987702,0.968462,0.978287,0.990271,0.996833,0.578927,0.984017,0.993201,0.995958,98.469290,
157,2.533643,3.457263,0.980922,0.955178,0.966327,0.983835,0.994495,0.452865,0.968351,0.986416,0.992301,95.519107,
158,2.533643,2.533643,0.992085,0.977673,0.985518,0.994269,0.998553,0.710347,0.992056,0.996499,0.998004,98.689792,
