n:1 mse_avg:3.52 mse_y:3.61 mse_u:3.64 mse_v:3.06 psnr_avg:42.66 psnr_y:42.55 psnr_u:42.52 psnr_v:43.27 
n:2 mse_avg:14.82 mse_y:18.79 mse_u:8.76 mse_v:5.01 psnr_avg:36.42 psnr_y:35.39 psnr_u:38.70 psnr_v:41.14 
n:3 mse_avg:14.99 mse_y:19.02 mse_u:8.81 mse_v:5.07 psnr_avg:36.37 psnr_y:35.34 psnr_u:38.68 psnr_v:41.08 
n:4 mse_avg:14.90 mse_y:18.90 mse_u:8.71 mse_v:5.11 psnr_avg:36.40 psnr_y:35.37 psnr_u:38.73 psnr_v:41.05 
n:5 mse_avg:14.12 mse_y:17.73 mse_u:8.67 mse_v:5.10 psnr_avg:36.63 psnr_y:35.64 psnr_u:38.75 psnr_v:41.06 
n:6 mse_avg:14.83 mse_y:18.77 mse_u:8.75 mse_v:5.18 psnr_avg:36.42 psnr_y:35.40 psnr_u:38.71 psnr_v:40.98 
n:7 mse_avg:14.88 mse_y:18.81 mse_u:8.79 mse_v:5.23 psnr_avg:36.41 psnr_y:35.39 psnr_u:38.69 psnr_v:40.95 
n:8 mse_avg:15.15 mse_y:19.19 mse_u:8.79 mse_v:5.33 psnr_avg:36.33 psnr_y:35.30 psnr_u:38.69 psnr_v:40.86 
n:9 mse_avg:11.01 mse_y:13.13 mse_u:8.47 mse_v:5.06 psnr_avg:37.71 psnr_y:36.95 psnr_u:38.85 psnr_v:41.09 
n:10 mse_avg:14.97 mse_y:18.96 mse_u:8.70 mse_v:5.26 psnr_avg:36.38 psnr_y:35.35 psnr_u:38.73 psnr_v:40.92 
n:11 mse_avg:10.50 mse_y:12.43 mse_u:8.24 mse_v:5.04 psnr_avg:37.92 psnr_y:37.19 psnr_u:38.97 psnr_v:41.10 
n:12 mse_avg:15.35 mse_y:19.49 mse_u:8.78 mse_v:5.33 psnr_avg:36.27 psnr_y:35.23 psnr_u:38.70 psnr_v:40.86 
n:13 mse_avg:14.51 mse_y:18.22 mse_u:8.81 mse_v:5.38 psnr_avg:36.51 psnr_y:35.53 psnr_u:38.68 psnr_v:40.82 
n:14 mse_avg:14.92 mse_y:18.83 mse_u:8.78 mse_v:5.40 psnr_avg:36.39 psnr_y:35.38 psnr_u:38.69 psnr_v:40.81 
n:15 mse_avg:15.00 mse_y:18.92 mse_u:8.82 mse_v:5.53 psnr_avg:36.37 psnr_y:35.36 psnr_u:38.67 psnr_v:40.70 
n:16 mse_avg:15.37 mse_y:19.43 mse_u:8.91 mse_v:5.59 psnr_avg:36.26 psnr_y:35.25 psnr_u:38.63 psnr_v:40.66 
