Frame,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.000000,0.000000,0.994286,0.983911,0.990384,0.995908,0.998896,0.657350,0.986349,0.993977,0.996665,95.703715,
1,12.545672,12.545672,0.986445,0.964392,0.978557,0.990334,0.995606,0.544299,0.970164,0.986899,0.992877,100.000000,
2,12.699924,12.699924,0.990916,0.974743,0.985616,0.993551,0.997528,0.592915,0.979362,0.990795,0.994721,100.000000,
3,12.233448,12.879362,0.986766,0.964343,0.978866,0.990827,0.995912,0.529991,0.969230,0.986563,0.992772,100.000000,
4,11.826159,12.233448,0.992096,0.978264,0.987608,0.994435,0.997619,0.593993,0.981953,0.991817,0.995204,100.000000,
5,11.826159,11.826159,0.986214,0.961803,0.976812,0.989729,0.996844,0.510554,0.968756,0.986205,0.992509,100.000000,
6,12.701688,12.711871,0.990918,0.973746,0.985472,0.993782,0.997391,0.565241,0.979420,0.990756,0.994645,100.000000,
7,12.701688,12.701688,0.985707,0.961164,0.976402,0.989677,0.995903,0.503698,0.968791,0.986440,0.992504,100.000000,
8,13.041832,13.041832,0.992620,0.978960,0.987232,0.994590,0.998442,0.598831,0.984640,0.993381,0.996221,100.000000,
9,12.819995,13.058935,0.986535,0.965126,0.977774,0.989354,0.996123,0.508040,0.968995,0.986456,0.992666,100.000000,
10,12.819995,12.819995,0.990589,0.972421,0.984404,0.993204,0.997971,0.563503,0.979326,0.991071,0.995064,100.000000,
11,13.369892,13.369892,0.986729,0.964749,0.977703,0.990412,0.996329,0.519762,0.968529,0.986318,0.992701,100.000000,
12,13.422387,13.422387,0.991677,0.977469,0.986352,0.993843,0.997812,0.596417,0.982297,0.992371,0.995867,100.000000,
13,12.598223,13.590824,0.985930,0.964461,0.977182,0.989372,0.995813,0.527476,0.969074,0.986579,0.992838,100.000000,
14,12.197645,12.598223,0.990427,0.975786,0.985079,0.992741,0.996919,0.590711,0.979698,0.991146,0.995190,100.000000,
15,10.726541,12.197645,0.986127,0.965198,0.978270,0.989064,0.995986,0.540514,0.970314,0.987277,0.993311,100.000000,
16,10.726541,10.726541,0.991668,0.978097,0.986873,0.993876,0.997737,0.608164,0.980801,0.991644,0.995396,100.000000,
17,10.544472,10.831574,0.985696,0.964594,0.977928,0.989069,0.995546,0.541525,0.970719,0.987349,0.993177,100.000000,
18,10.544472,10.544472,0.990749,0.975958,0.985479,0.992794,0.997776,0.599039,0.980291,0.991358,0.995330,100.000000,
19,11.336177,11.336177,0.986017,0.964465,0.978378,0.989881,0.995343,0.542610,0.970418,0.987207,0.993126,100.000000,
20,11.370445,11.370445,0.991865,0.978082,0.987384,0.994201,0.997440,0.613644,0.983548,0.992902,0.996039,100.000000,
21,11.139047,11.820625,0.986352,0.965000,0.977901,0.988814,0.996534,0.544654,0.970772,0.987392,0.993287,100.000000,
22,11.139047,11.139047,0.990688,0.974765,0.985495,0.993246,0.997193,0.607112,0.981038,0.991710,0.995464,100.000000,
23,10.894889,11.786671,0.986388,0.963632,0.978667,0.989694,0.996066,0.557243,0.971365,0.987740,0.993460,100.000000,
24,10.894889,10.894889,0.992029,0.978535,0.987607,0.994062,0.997730,0.643952,0.984730,0.993248,0.996185,100.000000,
25,11.468954,11.468954,0.985807,0.962589,0.977798,0.989786,0.995441,0.564185,0.970633,0.987259,0.993260,100.000000,
