n:1 mse_avg:8.96 mse_y:9.56 mse_u:8.62 mse_v:6.90 psnr_avg:38.61 psnr_y:38.33 psnr_u:38.77 psnr_v:39.74 
n:2 mse_avg:15.74 mse_y:18.86 mse_u:11.53 mse_v:7.45 psnr_avg:36.16 psnr_y:35.38 psnr_u:37.51 psnr_v:39.41 
n:3 mse_avg:12.34 mse_y:13.75 mse_u:11.42 mse_v:7.59 psnr_avg:37.22 psnr_y:36.75 psnr_u:37.55 psnr_v:39.33 
n:4 mse_avg:16.27 mse_y:19.29 mse_u:12.63 mse_v:7.84 psnr_avg:36.02 psnr_y:35.28 psnr_u:37.12 psnr_v:39.19 
n:5 mse_avg:10.75 mse_y:11.80 mse_u:10.07 mse_v:7.21 psnr_avg:37.82 psnr_y:37.41 psnr_u:38.10 psnr_v:39.55 
n:6 mse_avg:15.75 mse_y:18.67 mse_u:12.39 mse_v:7.44 psnr_avg:36.16 psnr_y:35.42 psnr_u:37.20 psnr_v:39.42 
n:7 mse_avg:11.33 mse_y:12.58 mse_u:10.75 mse_v:6.92 psnr_avg:37.59 psnr_y:37.13 psnr_u:37.82 psnr_v:39.73 
n:8 mse_avg:14.80 mse_y:17.48 mse_u:11.84 mse_v:7.01 psnr_avg:36.43 psnr_y:35.71 psnr_u:37.40 psnr_v:39.68 
n:9 mse_avg:9.13 mse_y:9.83 mse_u:8.98 mse_v:6.48 psnr_avg:38.53 psnr_y:38.21 psnr_u:38.60 psnr_v:40.01 
n:10 mse_avg:14.86 mse_y:17.56 mse_u:11.81 mse_v:7.13 psnr_avg:36.41 psnr_y:35.69 psnr_u:37.41 psnr_v:39.60 
n:11 mse_avg:11.96 mse_y:13.32 mse_u:11.26 mse_v:7.21 psnr_avg:37.36 psnr_y:36.89 psnr_u:37.62 psnr_v:39.55 
n:12 mse_avg:15.40 mse_y:18.05 mse_u:12.70 mse_v:7.48 psnr_avg:36.26 psnr_y:35.57 psnr_u:37.09 psnr_v:39.39 
n:13 mse_avg:10.70 mse_y:11.60 mse_u:10.54 mse_v:7.25 psnr_avg:37.84 psnr_y:37.49 psnr_u:37.90 psnr_v:39.53 
n:14 mse_avg:16.59 mse_y:19.46 mse_u:13.65 mse_v:8.03 psnr_avg:35.93 psnr_y:35.24 psnr_u:36.78 psnr_v:39.08 
n:15 mse_avg:12.78 mse_y:14.10 mse_u:12.32 mse_v:7.97 psnr_avg:37.06 psnr_y:36.64 psnr_u:37.23 psnr_v:39.12 
n:16 mse_avg:16.49 mse_y:19.45 mse_u:13.02 mse_v:8.09 psnr_avg:35.96 psnr_y:35.24 psnr_u:36.98 psnr_v:39.05 
n:17 mse_avg:11.09 mse_y:11.83 mse_u:11.23 mse_v:7.99 psnr_avg:37.68 psnr_y:37.40 psnr_u:37.63 psnr_v:39.11 
n:18 mse_avg:17.24 mse_y:20.43 mse_u:13.27 mse_v:8.45 psnr_avg:35.77 psnr_y:35.03 psnr_u:36.90 psnr_v:38.86 
n:19 mse_avg:13.21 mse_y:14.50 mse_u:12.83 mse_v:8.43 psnr_avg:36.92 psnr_y:36.52 psnr_u:37.05 psnr_v:38.87 
n:20 mse_avg:17.53 mse_y:20.66 mse_u:13.81 mse_v:8.74 psnr_avg:35.69 psnr_y:34.98 psnr_u:36.73 psnr_v:38.71 
n:21 mse_avg:11.52 mse_y:12.36 mse_u:11.31 mse_v:8.36 psnr_avg:37.52 psnr_y:37.21 psnr_u:37.60 psnr_v:38.91 
n:22 mse_avg:17.55 mse_y:20.56 mse_u:14.13 mse_v:8.91 psnr_avg:35.69 psnr_y:35.00 psnr_u:36.63 psnr_v:38.63 
n:23 mse_avg:13.85 mse_y:14.98 mse_u:14.02 mse_v:9.16 psnr_avg:36.72 psnr_y:36.38 psnr_u:36.66 psnr_v:38.51 
n:24 mse_avg:18.59 mse_y:21.84 mse_u:14.71 mse_v:9.43 psnr_avg:35.44 psnr_y:34.74 psnr_u:36.46 psnr_v:38.39 
n:25 mse_avg:12.00 mse_y:12.69 mse_u:12.01 mse_v:9.24 psnr_avg:37.34 psnr_y:37.10 psnr_u:37.34 psnr_v:38.47 
n:26 mse_avg:19.94 mse_y:23.59 mse_u:15.41 mse_v:9.89 psnr_avg:35.13 psnr_y:34.40 psnr_u:36.25 psnr_v:38.18 
n:27 mse_avg:14.88 mse_y:16.01 mse_u:15.31 mse_v:9.92 psnr_avg:36.41 psnr_y:36.09 psnr_u:36.28 psnr_v:38.17 
n:28 mse_avg:20.19 mse_y:23.69 mse_u:16.23 mse_v:10.15 psnr_avg:35.08 psnr_y:34.38 psnr_u:36.03 psnr_v:38.07 
n:29 mse_avg:13.35 mse_y:14.17 mse_u:13.62 mse_v:9.83 psnr_avg:36.87 psnr_y:36.62 psnr_u:36.79 psnr_v:38.20 
n:30 mse_avg:20.32 mse_y:23.90 mse_u:16.16 mse_v:10.16 psnr_avg:35.05 psnr_y:34.35 psnr_u:36.05 psnr_v:38.06 
n:31 mse_avg:15.04 mse_y:16.38 mse_u:14.92 mse_v:9.76 psnr_avg:36.36 psnr_y:35.99 psnr_u:36.39 psnr_v:38.24 
n:32 mse_avg:20.01 mse_y:23.80 mse_u:15.18 mse_v:9.70 psnr_avg:35.12 psnr_y:34.37 psnr_u:36.32 psnr_v:38.26 
n:33 mse_avg:11.85 mse_y:12.28 mse_u:12.73 mse_v:9.23 psnr_avg:37.39 psnr_y:37.24 psnr_u:37.08 psnr_v:38.48 
n:34 mse_avg:20.40 mse_y:24.13 mse_u:15.87 mse_v:10.00 psnr_avg:35.04 psnr_y:34.31 psnr_u:36.13 psnr_v:38.13 
n:35 mse_avg:15.88 mse_y:17.20 mse_u:16.26 mse_v:10.21 psnr_avg:36.12 psnr_y:35.78 psnr_u:36.02 psnr_v:38.04 
n:36 mse_avg:20.83 mse_y:24.39 mse_u:16.98 mse_v:10.43 psnr_avg:34.94 psnr_y:34.26 psnr_u:35.83 psnr_v:37.95 
n:37 mse_avg:14.25 mse_y:15.09 mse_u:14.78 mse_v:10.36 psnr_avg:36.59 psnr_y:36.34 psnr_u:36.44 psnr_v:37.98 
n:38 mse_avg:22.10 mse_y:26.02 mse_u:17.73 mse_v:10.79 psnr_avg:34.69 psnr_y:33.98 psnr_u:35.64 psnr_v:37.80 
n:39 mse_avg:16.48 mse_y:17.75 mse_u:17.21 mse_v:10.67 psnr_avg:35.96 psnr_y:35.64 psnr_u:35.77 psnr_v:37.85 
n:40 mse_avg:22.35 mse_y:26.34 mse_u:17.90 mse_v:10.85 psnr_avg:34.64 psnr_y:33.92 psnr_u:35.60 psnr_v:37.78 
