Frame,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.000000,0.000000,0.941121,0.896653,0.907504,0.946730,0.971637,0.277480,0.792782,0.885018,0.931166,75.879842,
1,12.545672,12.545672,0.922056,0.875836,0.875721,0.925334,0.962311,0.250042,0.746149,0.851177,0.907542,82.061409,
2,12.699924,12.699924,0.924161,0.876694,0.879419,0.928104,0.963385,0.251822,0.755875,0.858099,0.912575,83.200273,
3,12.233448,12.879362,0.919675,0.871042,0.869690,0.926580,0.960070,0.248876,0.751255,0.855065,0.911056,81.665999,
4,11.826159,12.233448,0.932596,0.887639,0.892610,0.939417,0.965792,0.262013,0.787134,0.879217,0.926261,85.795101,
5,11.826159,11.826159,0.921286,0.874241,0.870230,0.926048,0.961380,0.247683,0.758334,0.858728,0.913563,81.905462,
6,12.701688,12.711871,0.924642,0.880488,0.879696,0.929599,0.960054,0.252823,0.770208,0.866273,0.917677,83.912218,
7,12.701688,12.701688,0.919956,0.872515,0.869145,0.927009,0.958058,0.246676,0.758585,0.857857,0.911693,82.263627,
8,13.041832,13.041832,0.934455,0.893373,0.893855,0.937717,0.966859,0.271210,0.795503,0.883969,0.929110,87.650186,
9,12.819995,13.058935,0.920913,0.879539,0.870580,0.921973,0.960316,0.249529,0.758316,0.857106,0.910218,82.428581,
10,12.819995,12.819995,0.924621,0.881134,0.878360,0.928033,0.961047,0.249560,0.765486,0.864443,0.916475,83.881045,
11,13.369892,13.369892,0.922129,0.883420,0.875188,0.925831,0.958184,0.253046,0.756983,0.859009,0.913499,83.481676,
12,13.422387,13.422387,0.931663,0.896165,0.891259,0.933426,0.964532,0.274701,0.793839,0.884723,0.930742,87.570541,
13,12.598223,13.590824,0.916864,0.872842,0.868405,0.922677,0.955221,0.252595,0.754366,0.856975,0.912391,81.573167,
14,12.197645,12.598223,0.921673,0.880161,0.877168,0.924337,0.959749,0.253032,0.761394,0.862292,0.916510,82.651728,
15,10.726541,12.197645,0.918199,0.874053,0.875745,0.918831,0.958363,0.254416,0.754745,0.857652,0.912197,80.118686,
16,10.726541,10.726541,0.932412,0.892117,0.900464,0.938072,0.961496,0.273099,0.790909,0.882106,0.928709,84.994324,
17,10.544472,10.831574,0.915617,0.869164,0.868566,0.922660,0.955421,0.249927,0.753500,0.856817,0.913616,79.508701,
18,10.544472,10.544472,0.921848,0.877200,0.881093,0.925713,0.959859,0.256081,0.766267,0.865907,0.918720,81.417974,
19,11.336177,11.336177,0.920394,0.873686,0.875175,0.924939,0.960912,0.256591,0.759780,0.861924,0.916994,81.619787,
20,11.370445,11.370445,0.935902,0.894296,0.903810,0.940944,0.965038,0.279679,0.800227,0.887776,0.932208,86.769459,
21,11.139047,11.820625,0.919444,0.874764,0.871228,0.922980,0.959200,0.264062,0.762253,0.862349,0.915609,81.132416,
22,11.139047,11.139047,0.923921,0.876141,0.879699,0.929090,0.962044,0.265684,0.770602,0.868480,0.920084,82.567075,
23,10.894889,11.786671,0.921326,0.874502,0.877493,0.926193,0.958888,0.269185,0.760785,0.862218,0.916536,81.349692,
24,10.894889,10.894889,0.936156,0.886765,0.904548,0.940449,0.968632,0.285020,0.795755,0.885129,0.931454,86.221740,
25,11.468954,11.468954,0.917920,0.865616,0.871680,0.925252,0.957660,0.270826,0.755218,0.857921,0.912455,80.760292,
26,12.282783,12.282783,0.921189,0.874700,0.878870,0.926849,0.957176,0.279195,0.762844,0.862441,0.915623,82.538254,
27,12.450385,12.450385,0.921263,0.870945,0.874031,0.924602,0.962065,0.280928,0.753703,0.856423,0.912215,82.277213,
28,12.664216,12.664216,0.936357,0.888080,0.901004,0.940685,0.968940,0.301319,0.793725,0.884551,0.930630,87.831096,
29,12.633459,13.255141,0.919785,0.866736,0.872260,0.925859,0.959323,0.284037,0.751945,0.856089,0.912390,82.149752,
30,12.633459,12.633459,0.924203,0.871566,0.878683,0.929076,0.963465,0.287105,0.761734,0.864349,0.918798,83.780389,
31,13.399538,13.687071,0.919787,0.866981,0.871354,0.924191,0.961776,0.282464,0.749404,0.855410,0.912798,82.864945,
32,13.399538,13.399538,0.936624,0.890078,0.902182,0.941614,0.967741,0.307981,0.787180,0.880467,0.928415,88.254596,
33,14.292752,14.292752,0.918780,0.867013,0.869614,0.922825,0.959845,0.287038,0.745178,0.851951,0.909890,83.138279,
34,14.317029,14.317029,0.923895,0.876447,0.876818,0.929834,0.960586,0.291870,0.753871,0.858628,0.915382,84.804438,
35,14.093438,15.442009,0.922651,0.879011,0.876872,0.924391,0.960834,0.295078,0.746348,0.853592,0.911508,83.919675,
36,14.093438,14.093438,0.936626,0.891864,0.902276,0.939537,0.968992,0.309248,0.786069,0.880898,0.929266,88.961380,
37,13.784670,14.254171,0.921271,0.871246,0.871553,0.924025,0.963424,0.289788,0.746995,0.854662,0.912415,83.466060,
38,13.400051,13.784670,0.926309,0.878838,0.880340,0.932235,0.962512,0.293694,0.755472,0.860278,0.916203,84.592207,
39,13.400051,13.400051,0.922319,0.871926,0.876269,0.928946,0.960670,0.287722,0.746666,0.854124,0.911863,83.276931,
40,11.552048,13.506819,0.936554,0.886317,0.901727,0.943655,0.968468,0.303008,0.784067,0.879120,0.927927,86.454307,
41,11.552048,11.552048,0.920987,0.867513,0.874414,0.929092,0.959977,0.288531,0.748512,0.855794,0.912347,81.389427,
42,12.160062,12.330344,0.924078,0.871068,0.880582,0.932713,0.960322,0.290918,0.759066,0.863206,0.917075,83.157391,
43,11.577213,12.160062,0.923308,0.865954,0.876631,0.929544,0.964181,0.285939,0.750128,0.857587,0.914585,82.112237,
44,11.577213,11.577213,0.938409,0.887263,0.904506,0.944369,0.970096,0.307498,0.787663,0.882043,0.929962,87.111576,
45,13.238400,13.238400,0.920638,0.866969,0.871745,0.926001,0.961777,0.293914,0.746232,0.852916,0.909240,82.551667,
46,14.861856,14.861856,0.927939,0.884626,0.886126,0.931370,0.962092,0.306662,0.760643,0.862595,0.915958,86.272108,
47,16.114113,16.114113,0.924789,0.882615,0.882263,0.929509,0.957780,0.307011,0.752990,0.857648,0.913812,86.401728,
48,15.504813,16.162886,0.939873,0.893576,0.906585,0.945463,0.968794,0.317855,0.792446,0.883836,0.929943,91.017489,
49,15.504813,15.504813,0.920082,0.866749,0.869218,0.924103,0.961671,0.294016,0.748957,0.855029,0.911646,84.681587,
50,14.958129,15.871321,0.924002,0.876987,0.878266,0.931094,0.958991,0.303455,0.762090,0.864102,0.917912,85.742613,
51,14.301530,14.958129,0.917612,0.861586,0.869017,0.925094,0.957771,0.291493,0.747573,0.854095,0.910845,83.042818,
52,12.740968,14.301530,0.937081,0.885746,0.900779,0.943421,0.969616,0.320831,0.793607,0.886119,0.932675,88.261763,
53,12.740968,12.740968,0.917391,0.857492,0.864376,0.925658,0.959815,0.295875,0.747710,0.855314,0.912622,81.759735,
54,14.625512,14.725004,0.923590,0.868955,0.875534,0.928120,0.963435,0.303246,0.758219,0.862910,0.917818,85.331314,
55,14.625512,14.625512,0.922064,0.869329,0.871385,0.926267,0.962936,0.303465,0.748985,0.856620,0.914378,84.577825,
56,15.742856,15.742856,0.938783,0.889809,0.902884,0.944794,0.968610,0.327441,0.792151,0.885993,0.933068,91.321332,
57,15.409540,16.035439,0.918629,0.866689,0.870422,0.924702,0.956452,0.308004,0.745044,0.852681,0.910740,84.174804,
58,13.605394,15.409540,0.923582,0.867374,0.874841,0.929512,0.962933,0.304024,0.751655,0.858411,0.915052,84.080399,
59,12.491714,13.605394,0.917227,0.849722,0.861740,0.926487,0.963058,0.286981,0.739403,0.851442,0.911925,81.355166,
60,12.491714,12.491714,0.936613,0.882956,0.898444,0.943657,0.969486,0.326516,0.787938,0.883171,0.931362,87.737158,
61,12.375861,14.603685,0.914009,0.840034,0.860134,0.927805,0.959351,0.285179,0.738650,0.850391,0.910965,80.491417,
62,12.375861,12.375861,0.919620,0.854879,0.870835,0.930440,0.960776,0.297355,0.751280,0.858142,0.914889,82.128697,
63,13.995219,13.995219,0.917621,0.851086,0.867115,0.927002,0.960966,0.293720,0.740197,0.850323,0.909348,82.562541,
64,13.493668,14.479887,0.936961,0.887263,0.901716,0.942420,0.968186,0.329975,0.786469,0.881790,0.930606,88.627818,
65,13.493668,13.493668,0.915143,0.839607,0.859912,0.927737,0.961969,0.285424,0.740265,0.851984,0.911276,81.812667,
66,12.843948,14.090893,0.922912,0.865932,0.875827,0.930514,0.962023,0.303949,0.753067,0.859821,0.916601,83.408408,
67,12.767440,12.843948,0.923849,0.873107,0.879099,0.928608,0.961605,0.311675,0.747545,0.854406,0.911963,83.012995,
68,12.421055,12.767440,0.936288,0.878219,0.902453,0.943917,0.968949,0.316795,0.784247,0.879814,0.928560,87.279986,
69,12.421055,12.421055,0.919383,0.859301,0.872611,0.927020,0.959629,0.298332,0.742729,0.851499,0.910210,81.579414,
70,12.632691,12.632691,0.925557,0.867414,0.879386,0.932629,0.964638,0.301482,0.753156,0.859363,0.916329,83.719889,
71,13.391266,13.391266,0.921688,0.864429,0.875268,0.931444,0.958568,0.300315,0.742563,0.850673,0.908835,82.808467,
72,13.722844,13.870198,0.937063,0.881990,0.902479,0.944827,0.968742,0.319575,0.784737,0.880610,0.929202,88.710127,
