Frame,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.000000,0.000000,0.979287,0.950758,0.967137,0.983599,0.992894,0.504334,0.962548,0.981413,0.989131,91.493351,
1,12.545672,12.545672,0.978101,0.952997,0.964232,0.981550,0.992130,0.475999,0.947654,0.974850,0.985819,100.000000,
2,12.699924,12.699924,0.978492,0.953039,0.964896,0.982341,0.992150,0.476245,0.948346,0.975287,0.986239,100.000000,
3,12.233448,12.879362,0.979125,0.953704,0.966103,0.983459,0.992065,0.474061,0.949152,0.975653,0.986331,100.000000,
4,11.826159,12.233448,0.979059,0.954167,0.965118,0.983527,0.992151,0.465173,0.949163,0.975721,0.986192,100.000000,
5,11.826159,11.826159,0.979432,0.955172,0.965825,0.982812,0.992416,0.463106,0.949226,0.975717,0.986319,100.000000,
6,12.701688,12.711871,0.979219,0.954857,0.965856,0.982860,0.991810,0.461137,0.949335,0.975668,0.986101,100.000000,
7,12.701688,12.701688,0.979092,0.954287,0.965092,0.983267,0.991768,0.458171,0.948993,0.975644,0.986229,100.000000,
8,13.041832,13.041832,0.979830,0.956034,0.965720,0.983086,0.992588,0.464135,0.948872,0.975536,0.986278,100.000000,
9,12.819995,13.058935,0.979291,0.956442,0.965316,0.981870,0.992279,0.457060,0.947924,0.975131,0.986040,100.000000,
10,12.819995,12.819995,0.979367,0.954462,0.964558,0.983149,0.992657,0.457198,0.947285,0.974797,0.985817,100.000000,
11,13.369892,13.369892,0.979184,0.956363,0.966827,0.982666,0.991053,0.464262,0.946510,0.974497,0.985885,100.000000,
12,13.422387,13.422387,0.979970,0.954167,0.967147,0.983927,0.992792,0.496174,0.963688,0.982261,0.989713,100.000000,
13,12.598223,13.590824,0.977084,0.951599,0.962444,0.981238,0.991140,0.467377,0.948749,0.975625,0.986394,100.000000,
14,12.197645,12.598223,0.977640,0.952497,0.963517,0.981531,0.991635,0.469869,0.948840,0.975652,0.986363,100.000000,
15,10.726541,12.197645,0.977739,0.953350,0.965212,0.981003,0.991296,0.474767,0.948449,0.975603,0.986529,100.000000,
16,10.726541,10.726541,0.977717,0.953931,0.964521,0.981944,0.990857,0.476357,0.949223,0.976115,0.986707,100.000000,
17,10.544472,10.831574,0.977830,0.954096,0.965576,0.981258,0.991304,0.476158,0.949591,0.976222,0.986785,100.000000,
18,10.544472,10.544472,0.978416,0.954683,0.965419,0.981491,0.992582,0.478720,0.949584,0.976248,0.986798,100.000000,
