n:1 mse_avg:5.85 mse_y:6.44 mse_u:5.20 mse_v:4.16 psnr_avg:40.46 psnr_y:40.04 psnr_u:40.97 psnr_v:41.94 
n:2 mse_avg:6.58 mse_y:7.48 mse_u:5.26 mse_v:4.26 psnr_avg:39.95 psnr_y:39.39 psnr_u:40.92 psnr_v:41.83 
n:3 mse_avg:6.42 mse_y:7.31 mse_u:5.08 mse_v:4.18 psnr_avg:40.06 psnr_y:39.49 psnr_u:41.08 psnr_v:41.92 
n:4 mse_avg:6.28 mse_y:7.18 mse_u:4.92 mse_v:4.03 psnr_avg:40.15 psnr_y:39.57 psnr_u:41.21 psnr_v:42.07 
n:5 mse_avg:6.25 mse_y:7.19 mse_u:4.80 mse_v:3.95 psnr_avg:40.17 psnr_y:39.57 psnr_u:41.32 psnr_v:42.17 
n:6 mse_avg:6.12 mse_y:7.05 mse_u:4.69 mse_v:3.84 psnr_avg:40.26 psnr_y:39.65 psnr_u:41.42 psnr_v:42.29 
n:7 mse_avg:5.96 mse_y:6.84 mse_u:4.62 mse_v:3.75 psnr_avg:40.38 psnr_y:39.78 psnr_u:41.49 psnr_v:42.39 
n:8 mse_avg:5.98 mse_y:6.87 mse_u:4.64 mse_v:3.75 psnr_avg:40.37 psnr_y:39.76 psnr_u:41.47 psnr_v:42.39 
n:9 mse_avg:5.91 mse_y:6.76 mse_u:4.65 mse_v:3.76 psnr_avg:40.42 psnr_y:39.83 psnr_u:41.46 psnr_v:42.38 
n:10 mse_avg:6.12 mse_y:7.03 mse_u:4.73 mse_v:3.85 psnr_avg:40.26 psnr_y:39.66 psnr_u:41.38 psnr_v:42.27 
n:11 mse_avg:6.25 mse_y:7.18 mse_u:4.80 mse_v:3.97 psnr_avg:40.17 psnr_y:39.57 psnr_u:41.32 psnr_v:42.15 
n:12 mse_avg:6.24 mse_y:7.13 mse_u:4.89 mse_v:3.99 psnr_avg:40.18 psnr_y:39.60 psnr_u:41.23 psnr_v:42.12 
n:13 mse_avg:5.48 mse_y:6.09 mse_u:4.70 mse_v:3.83 psnr_avg:40.74 psnr_y:40.28 psnr_u:41.41 psnr_v:42.30 
n:14 mse_avg:6.61 mse_y:7.53 mse_u:5.29 mse_v:4.27 psnr_avg:39.93 psnr_y:39.36 psnr_u:40.90 psnr_v:41.82 
n:15 mse_avg:6.72 mse_y:7.65 mse_u:5.35 mse_v:4.35 psnr_avg:39.86 psnr_y:39.29 psnr_u:40.85 psnr_v:41.75 
n:16 mse_avg:6.62 mse_y:7.52 mse_u:5.31 mse_v:4.34 psnr_avg:39.92 psnr_y:39.37 psnr_u:40.88 psnr_v:41.76 
n:17 mse_avg:6.67 mse_y:7.59 mse_u:5.28 mse_v:4.39 psnr_avg:39.89 psnr_y:39.33 psnr_u:40.91 psnr_v:41.71 
n:18 mse_avg:6.69 mse_y:7.63 mse_u:5.22 mse_v:4.38 psnr_avg:39.88 psnr_y:39.30 psnr_u:40.95 psnr_v:41.72 
n:19 mse_avg:6.61 mse_y:7.52 mse_u:5.23 mse_v:4.35 psnr_avg:39.93 psnr_y:39.37 psnr_u:40.95 psnr_v:41.74 
n:20 mse_avg:6.53 mse_y:7.42 mse_u:5.18 mse_v:4.33 psnr_avg:39.98 psnr_y:39.43 psnr_u:40.99 psnr_v:41.76 
n:21 mse_avg:6.59 mse_y:7.51 mse_u:5.19 mse_v:4.34 psnr_avg:39.94 psnr_y:39.38 psnr_u:40.98 psnr_v:41.76 
n:22 mse_avg:6.58 mse_y:7.48 mse_u:5.21 mse_v:4.36 psnr_avg:39.95 psnr_y:39.39 psnr_u:40.96 psnr_v:41.74 
n:23 mse_avg:6.80 mse_y:7.73 mse_u:5.36 mse_v:4.52 psnr_avg:39.80 psnr_y:39.25 psnr_u:40.84 psnr_v:41.58 
n:24 mse_avg:6.89 mse_y:7.80 mse_u:5.53 mse_v:4.61 psnr_avg:39.75 psnr_y:39.21 psnr_u:40.70 psnr_v:41.49 
n:25 mse_avg:6.30 mse_y:6.92 mse_u:5.52 mse_v:4.59 psnr_avg:40.14 psnr_y:39.73 psnr_u:40.71 psnr_v:41.52 
n:26 mse_avg:7.23 mse_y:8.17 mse_u:5.86 mse_v:4.85 psnr_avg:39.54 psnr_y:39.01 psnr_u:40.45 psnr_v:41.27 
n:27 mse_avg:7.31 mse_y:8.25 mse_u:5.98 mse_v:4.91 psnr_avg:39.49 psnr_y:38.97 psnr_u:40.37 psnr_v:41.22 
n:28 mse_avg:7.34 mse_y:8.25 mse_u:6.08 mse_v:4.95 psnr_avg:39.48 psnr_y:38.97 psnr_u:40.29 psnr_v:41.18 
n:29 mse_avg:7.50 mse_y:8.43 mse_u:6.20 mse_v:5.08 psnr_avg:39.38 psnr_y:38.87 psnr_u:40.21 psnr_v:41.08 
n:30 mse_avg:7.57 mse_y:8.48 mse_u:6.39 mse_v:5.14 psnr_avg:39.34 psnr_y:38.85 psnr_u:40.08 psnr_v:41.02 
