n:1 mse_avg:5.14 mse_y:5.60 mse_u:4.42 mse_v:4.00 psnr_avg:41.02 psnr_y:40.65 psnr_u:41.67 psnr_v:42.11 
n:2 mse_avg:19.03 mse_y:24.15 mse_u:11.26 mse_v:6.33 psnr_avg:35.34 psnr_y:34.30 psnr_u:37.62 psnr_v:40.12 
n:3 mse_avg:18.73 mse_y:23.07 mse_u:12.97 mse_v:7.12 psnr_avg:35.41 psnr_y:34.50 psnr_u:37.00 psnr_v:39.61 
n:4 mse_avg:22.33 mse_y:27.85 mse_u:14.84 mse_v:7.70 psnr_avg:34.64 psnr_y:33.68 psnr_u:36.42 psnr_v:39.27 
n:5 mse_avg:16.21 mse_y:19.34 mse_u:12.62 mse_v:7.28 psnr_avg:36.03 psnr_y:35.27 psnr_u:37.12 psnr_v:39.51 
n:6 mse_avg:21.15 mse_y:26.17 mse_u:14.62 mse_v:7.61 psnr_avg:34.88 psnr_y:33.95 psnr_u:36.48 psnr_v:39.31 
n:7 mse_avg:18.44 mse_y:22.34 mse_u:13.89 mse_v:7.42 psnr_avg:35.47 psnr_y:34.64 psnr_u:36.70 psnr_v:39.43 
n:8 mse_avg:21.33 mse_y:26.25 mse_u:15.25 mse_v:7.71 psnr_avg:34.84 psnr_y:33.94 psnr_u:36.30 psnr_v:39.26 
n:9 mse_avg:11.10 mse_y:12.68 mse_u:9.53 mse_v:6.35 psnr_avg:37.68 psnr_y:37.10 psnr_u:38.34 psnr_v:40.10 
n:10 mse_avg:18.80 mse_y:23.20 mse_u:12.73 mse_v:7.28 psnr_avg:35.39 psnr_y:34.48 psnr_u:37.08 psnr_v:39.51 
n:11 mse_avg:11.72 mse_y:13.51 mse_u:9.68 mse_v:6.64 psnr_avg:37.44 psnr_y:36.83 psnr_u:38.27 psnr_v:39.91 
n:12 mse_avg:18.94 mse_y:23.30 mse_u:13.03 mse_v:7.38 psnr_avg:35.36 psnr_y:34.46 psnr_u:36.98 psnr_v:39.45 
n:13 mse_avg:15.80 mse_y:18.72 mse_u:12.49 mse_v:7.46 psnr_avg:36.14 psnr_y:35.41 psnr_u:37.17 psnr_v:39.40 
n:14 mse_avg:22.30 mse_y:27.50 mse_u:15.45 mse_v:8.32 psnr_avg:34.65 psnr_y:33.74 psnr_u:36.24 psnr_v:38.93 
n:15 mse_avg:21.01 mse_y:25.45 mse_u:15.66 mse_v:8.61 psnr_avg:34.91 psnr_y:34.07 psnr_u:36.18 psnr_v:38.78 
n:16 mse_avg:24.39 mse_y:30.06 mse_u:17.15 mse_v:8.97 psnr_avg:34.26 psnr_y:33.35 psnr_u:35.79 psnr_v:38.61 
n:17 mse_avg:13.22 mse_y:15.14 mse_u:11.08 mse_v:7.68 psnr_avg:36.92 psnr_y:36.33 psnr_u:37.69 psnr_v:39.28 
n:18 mse_avg:22.94 mse_y:28.51 mse_u:14.95 mse_v:8.63 psnr_avg:34.53 psnr_y:33.58 psnr_u:36.38 psnr_v:38.77 
n:19 mse_avg:21.40 mse_y:25.89 mse_u:15.86 mse_v:8.97 psnr_avg:34.83 psnr_y:34.00 psnr_u:36.13 psnr_v:38.60 
n:20 mse_avg:25.09 mse_y:30.84 mse_u:17.80 mse_v:9.39 psnr_avg:34.14 psnr_y:33.24 psnr_u:35.63 psnr_v:38.40 
n:21 mse_avg:12.91 mse_y:14.62 mse_u:11.17 mse_v:7.82 psnr_avg:37.02 psnr_y:36.48 psnr_u:37.65 psnr_v:39.20 
n:22 mse_avg:22.77 mse_y:28.02 mse_u:15.67 mse_v:8.91 psnr_avg:34.56 psnr_y:33.66 psnr_u:36.18 psnr_v:38.63 
n:23 mse_avg:22.70 mse_y:27.32 mse_u:17.24 mse_v:9.67 psnr_avg:34.57 psnr_y:33.77 psnr_u:35.77 psnr_v:38.27 
n:24 mse_avg:27.29 mse_y:33.38 mse_u:19.74 mse_v:10.50 psnr_avg:33.77 psnr_y:32.90 psnr_u:35.18 psnr_v:37.92 
n:25 mse_avg:14.89 mse_y:16.86 mse_u:12.83 mse_v:9.12 psnr_avg:36.40 psnr_y:35.86 psnr_u:37.05 psnr_v:38.53 
n:26 mse_avg:26.55 mse_y:32.79 mse_u:17.91 mse_v:10.27 psnr_avg:33.89 psnr_y:32.97 psnr_u:35.60 psnr_v:38.02 
