Frame,integer_motion2,integer_motion,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,vmaf,
0,0.000000,0.000000,0.988481,0.974637,0.980986,0.990437,0.996112,0.599227,0.976482,0.988724,0.993499,94.004154,
1,12.545672,12.545672,0.959475,0.929455,0.934387,0.963281,0.981376,0.377406,0.870542,0.933765,0.961293,96.784203,
2,12.699924,12.699924,0.960869,0.926458,0.938703,0.964181,0.983058,0.372977,0.879232,0.940424,0.966076,97.872834,
3,12.233448,12.879362,0.954264,0.916806,0.927585,0.959500,0.978624,0.340074,0.849451,0.922174,0.954725,94.390899,
4,11.826159,12.233448,0.967197,0.933941,0.947971,0.970958,0.986890,0.374944,0.895411,0.949504,0.971159,99.182861,
5,11.826159,11.826159,0.956094,0.919671,0.929287,0.959547,0.980377,0.328620,0.849580,0.921966,0.954884,94.394215,
6,12.701688,12.711871,0.960625,0.924431,0.936094,0.965063,0.982658,0.338320,0.865554,0.931953,0.960660,97.022330,
7,12.701688,12.701688,0.952994,0.914850,0.925123,0.958436,0.976744,0.311708,0.839097,0.916130,0.951316,94.053165,
8,13.041832,13.041832,0.976598,0.948597,0.961003,0.979793,0.991585,0.418081,0.928001,0.966772,0.981490,100.000000,
9,12.819995,13.058935,0.958191,0.925755,0.931540,0.960791,0.981011,0.330359,0.854559,0.925231,0.956239,95.998171,
10,12.819995,12.819995,0.977006,0.949785,0.961196,0.980184,0.992082,0.414072,0.927096,0.966371,0.980887,100.000000,
11,13.369892,13.369892,0.959773,0.931182,0.936182,0.964047,0.979131,0.342737,0.856470,0.926242,0.957045,96.946324,
12,13.422387,13.422387,0.966825,0.936773,0.946287,0.970749,0.985329,0.375983,0.891059,0.947662,0.970708,100.000000,
13,12.598223,13.590824,0.953877,0.917043,0.926616,0.958515,0.978722,0.332437,0.848020,0.922505,0.955940,94.755267,
14,12.197645,12.598223,0.958401,0.923381,0.933945,0.961771,0.982247,0.346321,0.864076,0.932536,0.961811,96.199281,
15,10.726541,12.197645,0.952886,0.915143,0.927802,0.956498,0.978304,0.328967,0.841459,0.918589,0.953905,92.460263,
16,10.726541,10.726541,0.975166,0.948401,0.961604,0.979813,0.989292,0.431067,0.927643,0.966910,0.982021,100.000000,
17,10.544472,10.831574,0.954799,0.920988,0.930374,0.960317,0.977605,0.345199,0.857333,0.927332,0.958907,93.412901,
18,10.544472,10.544472,0.958538,0.923738,0.937091,0.962872,0.980886,0.356835,0.871795,0.936730,0.964327,95.009129,
19,11.336177,11.336177,0.951481,0.913779,0.925192,0.955582,0.977742,0.335917,0.848019,0.922601,0.956488,93.107257,
20,11.370445,11.370445,0.976549,0.949551,0.962575,0.979543,0.991758,0.438956,0.933060,0.969402,0.983152,100.000000,
21,11.139047,11.820625,0.956487,0.922389,0.931004,0.958195,0.981269,0.355446,0.860557,0.928930,0.959077,94.425987,
22,11.139047,11.139047,0.959682,0.921792,0.936250,0.964946,0.982232,0.363999,0.872962,0.937072,0.964570,95.866652,
23,10.894889,11.786671,0.952604,0.912937,0.926081,0.957073,0.978047,0.345550,0.847034,0.921600,0.955265,92.782068,
24,10.894889,10.894889,0.975399,0.944821,0.962000,0.978742,0.991335,0.447289,0.929792,0.967693,0.982121,100.000000,
25,11.468954,11.468954,0.956050,0.920985,0.930904,0.960492,0.979632,0.363821,0.854920,0.926112,0.957017,94.380245,
26,12.282783,12.282783,0.959302,0.922796,0.937510,0.964445,0.980324,0.377006,0.867282,0.934111,0.962359,96.594428,
27,12.450385,12.450385,0.953145,0.912321,0.925940,0.956900,0.979134,0.354674,0.838011,0.916073,0.951517,93.879141,
28,12.664216,12.664216,0.967131,0.928326,0.947104,0.971334,0.987990,0.404596,0.886771,0.945407,0.969533,99.683655,
29,12.633459,13.255141,0.954720,0.912188,0.927105,0.960276,0.979927,0.358565,0.837140,0.915915,0.951569,94.381981,
30,12.633459,12.633459,0.976242,0.946191,0.961373,0.979732,0.991787,0.469723,0.925432,0.965643,0.981166,100.000000,
31,13.399538,13.687071,0.957310,0.919316,0.932303,0.961434,0.981066,0.374650,0.848686,0.923234,0.955979,96.278911,
32,13.399538,13.399538,0.976200,0.945100,0.960913,0.981277,0.991104,0.470569,0.920841,0.963747,0.980097,100.000000,
33,14.292752,14.292752,0.957117,0.919447,0.931132,0.960733,0.980990,0.378795,0.844537,0.920668,0.954894,96.870989,
34,14.317029,14.317029,0.960513,0.920748,0.935600,0.966733,0.982164,0.388754,0.857678,0.929468,0.960755,98.428925,
35,14.093438,15.442009,0.953884,0.915370,0.926059,0.957154,0.979197,0.366463,0.830179,0.913038,0.950953,95.398217,
36,14.093438,14.093438,0.965588,0.927995,0.946215,0.969726,0.985934,0.411545,0.879418,0.942349,0.968315,100.000000,
37,13.784670,14.254171,0.953924,0.912443,0.926540,0.960726,0.977365,0.362923,0.831234,0.913773,0.950470,95.115023,
38,13.400051,13.784670,0.959490,0.917578,0.933948,0.964981,0.982900,0.379583,0.849362,0.924579,0.957640,96.926136,
39,13.400051,13.400051,0.952378,0.907380,0.922501,0.959674,0.978892,0.352930,0.824602,0.910106,0.948495,94.141500,
40,11.552048,13.506819,0.976235,0.945639,0.960914,0.980885,0.991947,0.471899,0.922885,0.964760,0.980754,100.000000,
41,11.552048,11.552048,0.957620,0.919706,0.932776,0.962707,0.981038,0.383575,0.848833,0.924033,0.957207,94.729375,
