File,Codec,CRF,Time_Seconds,Size_Bytes
crowd_run_1080p50,libx264,22,8,35134754
crowd_run_1080p50,libx265,22,20,42279413
crowd_run_1080p50,hevc_videotoolbox,78,3,182307321
crowd_run_1080p50,libvpx-vp9,22,104,126700409
crowd_run_1080p50,libsvtav1,22,12,110487552
crowd_run_1080p50,libx264,28,6,15303835
crowd_run_1080p50,libx265,28,15,17932847
crowd_run_1080p50,hevc_videotoolbox,72,3,119344909
crowd_run_1080p50,libvpx-vp9,28,83,80283838
crowd_run_1080p50,libsvtav1,28,11,68644460
crowd_run_1080p50,libx264,34,5,6742061
crowd_run_1080p50,libx265,34,10,6997670
crowd_run_1080p50,hevc_videotoolbox,66,3,76376029
crowd_run_1080p50,libvpx-vp9,34,68,49973317
crowd_run_1080p50,libsvtav1,34,11,42414087
crowd_run_1080p50,libx264,40,4,3019223
crowd_run_1080p50,libx265,40,8,2271799
crowd_run_1080p50,hevc_videotoolbox,60,3,49671185
crowd_run_1080p50,libvpx-vp9,40,57,30154360
crowd_run_1080p50,libsvtav1,40,11,25536335
old_town_cross_1080p50,libx264,22,6,11110975
old_town_cross_1080p50,libx265,22,11,11747214
old_town_cross_1080p50,hevc_videotoolbox,78,3,145326819
old_town_cross_1080p50,libvpx-vp9,22,122,92708169
old_town_cross_1080p50,libsvtav1,22,10,43508090
old_town_cross_1080p50,libx264,28,3,2596711
old_town_cross_1080p50,libx265,28,7,2319026
old_town_cross_1080p50,hevc_videotoolbox,72,3,67370658
old_town_cross_1080p50,libvpx-vp9,28,82,36614621
old_town_cross_1080p50,libsvtav1,28,6,9256361
old_town_cross_1080p50,libx264,34,3,1336904
old_town_cross_1080p50,libx265,34,6,814202
old_town_cross_1080p50,hevc_videotoolbox,66,3,26229482
old_town_cross_1080p50,libvpx-vp9,34,54,11601303
old_town_cross_1080p50,libsvtav1,34,6,3405283
old_town_cross_1080p50,libx264,40,3,796764
old_town_cross_1080p50,libx265,40,6,350294
old_town_cross_1080p50,hevc_videotoolbox,60,3,9704485
old_town_cross_1080p50,libvpx-vp9,40,34,3462535
old_town_cross_1080p50,libsvtav1,40,7,2275741
park_joy_1080p50,libx264,22,7,43959023
park_joy_1080p50,libx265,22,22,55487000
park_joy_1080p50,hevc_videotoolbox,78,3,226336675
park_joy_1080p50,libvpx-vp9,22,106,161924503
park_joy_1080p50,libsvtav1,22,11,134561694
park_joy_1080p50,libx264,28,6,17115667
park_joy_1080p50,libx265,28,15,22576808
park_joy_1080p50,hevc_videotoolbox,72,3,155507374
park_joy_1080p50,libvpx-vp9,28,91,110197764
park_joy_1080p50,libsvtav1,28,11,89128499
park_joy_1080p50,libx264,34,5,6416581
park_joy_1080p50,libx265,34,10,7940099
park_joy_1080p50,hevc_videotoolbox,66,3,104723798
park_joy_1080p50,libvpx-vp9,34,79,71936771
park_joy_1080p50,libsvtav1,34,11,56085364
park_joy_1080p50,libx264,40,4,2388077
park_joy_1080p50,libx265,40,7,2217839
park_joy_1080p50,hevc_videotoolbox,60,3,69202373
park_joy_1080p50,libvpx-vp9,40,68,43827720
park_joy_1080p50,libsvtav1,40,11,32646766
